ID,Reference,Binomial,Genus,Species,Replicate,Specific_location,Location,Taxonomic_group,Latitude,Longitude,System,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022
823," Myers, R. Ransom Myers' Stock Recruitment Database.",Alosa_pseudoharengus,Alosa,pseudoharengus,0,1,"Saint John River, New Brunswick",Fish,45.55,-66.52,Freshwater,68,326,987,1150,596,779,643,299,329,334,329,327,526,451,179,586,1131,1577,2109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
830," Myers, R. Ransom Myers' Stock Recruitment Database.",Coregonus_clupeaformis,Coregonus,clupeaformis,0,1,"Thunder Bay, Lake Superior, Ontario",Fish,48.46667,-89.15,Freshwater,NULL,NULL,NULL,NULL,NULL,33.4,26.2,30.4,37.9,35.2,77.2,100.2,128.8,146,219.8,406.1,693.3,779.3,739.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
840," Myers, R. Ransom Myers' Stock Recruitment Database.",Notemigonus_crysoleucas,Notemigonus,crysoleucas,0,1,"Lake St. George, Ontario",Fish,44.73333,-79.37806,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3876,5822,10337,7575,25955,23407,12404,6859,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
846," Yukon Department of Environment (2004). Fish and Wildlife: Salmon. Yukon State of the Environment Report 2002. Y. D. o. Environment. Yukon, Canada., Yukon Government.: 61.",Oncorhynchus_keta,Oncorhynchus,keta,0,0,Yukon River,Fish,62.88333,-138.9,Freshwater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20000,48000,30500,90750,55500,66000,88000,82500,33000,33000,55500,74250,50000,24750,100000,159500,123750,82500,44000,66000,55500,35750,82500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
847," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_kisutch,Oncorhynchus,kisutch,0,1,"Carnation Creek, British Colombia",Fish,48.56,-125,Freshwater,NULL,81,75,75,70,69,55,51,56,176,69,38,71,51,21,26,58,26,22,62,99,74,53,29,1,79,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
848," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Adams Complex, British Columbia",Fish,50.54,-119.33,Freshwater,838982,155993,2139,503,602985,81616,3053,2479,923461,159749,1811,4202,1310403,96268,2361,236,789133,319922,3459,55,1309756,615028,6620,710,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
849," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Birkenhead River, BC",Fish,50,-122,Freshwater,20809,16798,29507,30711,88413,36619,51343,14185,48400,39276,43604,28447,73388,23873,20733,6060,200219,93587,89201,15908,97473,154663,94067,151089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
850," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Chilko Lake, British Columbia",Fish,51.15694,-124.22556,Freshwater,50923,97365,333551,30231,71126,133782,228326,20385,85570,147920,293204,20164,142515,213715,283146,34995,165504,268105,206156,42813,497975,578421,319474,561865,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
851," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Chilko River, BC",Fish,52.06,-123.27,Freshwater,50923,90643,332338,30231,70790,102022,211581,19832,82726,134853,276057,20084,135971,178374,220003,34739,158632,139796,135021,34894,497975,597558,319943,319186,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
852," Myers, R. Ransom Myers' Stock Recruitment Database.",Oncorhynchus_nerka,Oncorhynchus,nerka,0,1,"Early Stuart Complex, BC",Fish,53.59,-123.32,Freshwater,18256,51215,2487,155944,22466,33162,6988,72411,27952,48423,9858,75265,2623,15319,24587,128129,15843,81913,91009,222100,48912,86807,40830,491457,14466,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
