"","Binomial","Freq","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Acanthis_flammea","Acanthis_flammea",52,1,-0.000879315181715801,2.30024879409596e-05,0.000881377366999447,0.00169408847710872,0.00243926816972018,0.00310932599420244,0.00371214781398965,0.004240396463983,0.00467085078356211,0.00499844302747054,0.00524288613886792,0.00541291451309855,0.00549006869384516,0.00546200218735693,0.00534927255122553,0.00518036419874524,0.00495850132966746,0.00467616101218782,0.00434861279199472,0.00400397949418618,0.00364380237732953,0.00324397790430087,0.00280318525101264,0.00236574759796215,0.00198095170949708,0.00165760170498863,0.00137881891111313,0.00114926384656788,0.000999251246009525,0.00093852144606732,0.000930644696047089,NA
"Acanthis_hornemanni","Acanthis_hornemanni",52,1,-0.0013215917672218,-0.000649838215938336,6.11279693651934e-06,0.000630049561120893,0.00121282529796474,0.00176826636490512,0.00230651603317511,0.00280697433950183,0.0032402438504433,0.0036104709804351,0.003954798081511,0.00430275621667142,0.00465576524404854,0.0050059880140283,0.00535110774975767,0.00568094097699334,0.00596951926669176,0.00619723646804271,0.0063701884049584,0.0065024985965374,0.00658807761181224,0.00660824015403649,0.00656555973917072,0.00649261661640432,0.00642227669981243,0.00636191847739054,0.00630373485113078,0.00624946909444712,0.00621269643043987,0.00619972193526008,0.00620006215485547,NA
"Accipiter_cooperii","Accipiter_cooperii",53,1,0.000526510459000207,0.000738894517109401,0.000881367195831428,0.00116083057439975,0.00173158741452251,0.00257028112090207,0.00356115757603437,0.00469000000102815,0.00601462464524927,0.0074020955452212,0.00843523600688068,0.00870063020932133,0.00811934433234374,0.00691093395470133,0.00529799196162739,0.00337584605233276,0.00125710911881183,-0.000804103279965274,-0.00250629801058899,-0.00365683030949016,-0.00419325247653668,-0.00412208595339991,-0.0035113652375891,-0.00250984655116215,-0.00129887303803522,-2.43092309566428e-05,0.0011813926341615,0.0021319551090706,0.00263053287143378,0.0026352366696889,0.00235557108521234,0.00211896631245501
"Accipiter_gentilis","Accipiter_gentilis",53,1,0.000361342574770829,0.000304793214182641,0.000253244892701066,0.000202191450072275,0.000141475986555673,6.16603430285689e-05,-3.96562364681774e-05,-0.000156380081145269,-0.000278123979489342,-0.000397083837010426,-0.00051353412668087,-0.000636531091219528,-0.000778278686444311,-0.000944746210258751,-0.00112962415678686,-0.00131773633878884,-0.00149570508566987,-0.00165995485086357,-0.00181476983461382,-0.00196397026656059,-0.00210587300209997,-0.00223552342368816,-0.00234913564136896,-0.00244509545724103,-0.002522629203636,-0.00258227207468331,-0.00262774613504058,-0.00266508582902203,-0.0026983703055472,-0.00272678629591994,-0.0027465959475661,-0.0027557865455754
"Accipiter_striatus","Accipiter_striatus",53,1,0.0117175872680788,0.0111873760917147,0.0104847347428965,0.00953630615389378,0.00836603691351878,0.00709551035427736,0.00583790940651552,0.0046101333761499,0.00338043648080322,0.00218772575631099,0.00116422243872782,0.000418408158349592,-8.24038657623039e-05,-0.00049389976851022,-0.000970865009177757,-0.00157447377335762,-0.00228995966320289,-0.0031103516132025,-0.00408256796038708,-0.00525432917382473,-0.00656882736487541,-0.00783721868674858,-0.0088616328674731,-0.0095985960282674,-0.0101650699153868,-0.0106640481454692,-0.0110521814712512,-0.0112313581671644,-0.0112334546485282,-0.0112225617502824,-0.0112992068244917,-0.0113919630608801
"Acipenser_brevirostrum","Acipenser_brevirostrum",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0183155845399492,-0.0183155845399492,-0.0183155845399492,-0.0183155845399492,-0.0127632006017619,-0.0127632006017624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_fulvescens","Acipenser_fulvescens",59,1,-0.0450385004860998,-0.0393439891034709,0.0114307411811425,0.0148651587564116,0.0178055746544593,0.0206008454590658,0.0236872128368283,0.010636693003852,0.0244341706167067,0.0272593237089018,0.00446578736167576,-0.0148320749001484,-0.0398838180755739,-0.0588925515918439,-0.0687862043702192,-0.0420814748196977,0.00996115659860575,0.0561804959528257,0.0587547869834028,0.012367178772652,-0.0404148993708421,-0.0491886958219572,-0.0164302165941631,0.0205657339179437,0.00453893900727342,0.0167950432122361,0.0734617644898953,0.0786784228326131,0.0808293164553998,0.0954242509439325,0.0954242509439325,-0.477121254719662
"Acipenser_medirostris","Acipenser_medirostris",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00551019026692323,0.00551019026692323,0.00551019026692323,0.00551019026692323,0.00551019026692323,0.00551019026692323,-0.0288720079778972,-0.0288720079778972,-0.305697195700486,-0.305697195700487,NA,NA,NA,NA,NA,NA
"Acipenser_oxyrinchus","Acipenser_oxyrinchus",14,1,NA,NA,NA,NA,-0.335328324324272,-0.0981473225719841,-0.0156066268916924,-0.100429654976285,0.123261189202854,0.0853056148582629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_transmontanus","Acipenser_transmontanus",14,1,NA,NA,NA,NA,NA,0.642363421131903,-0.0638062646038352,-0.116242281737877,-0.282135715219281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
