population_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
799,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
802,1,0.0364081681092314,0.0377748621621655,0.0383727485165954,0.0383232361371413,0.0380219299917773,0.037865477251462,0.037971706846183,0.0381457536905641,0.0381335066258297,0.0379134473513698,0.0377069695505397,NA,NA,NA,NA,NA,NA
795,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
796,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
797,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3479,1,0.0152239903593967,0.0152239903593965,0.0152239903593965,0.0152239903593965,0.0152239903593967,0.0152239903593967,0.0152239903593963,0.0152239903593967,0.0152239903593965,0.0152239903593967,0.0152239903593966,0.0152239903593964,0.0152239903593966,0.0152239903593967,NA,NA,NA
801,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,1,0.0260391902035106,0.0206442005093734,0.01501347809275,0.00944336067117568,0.00407317055440082,-0.00117815149775069,-0.00680254225509458,-0.013290908672758,-0.0206969724231669,-0.0288431692491757,-0.0374893340730242,-0.0456526057759055,-0.052338150084771,-0.0573462019347257,-0.0607072180680088,-0.0626391668390314,-0.0635570705318194
804,1,0.140563161217457,0.140563161217457,0.140563161217457,0.140563161217456,0.140563161217457,0.140563161217457,0.140563161217457,0.140563161217456,0.140563161217456,0.140563161217456,0.140563161217457,0.140563161217456,0.140563161217457,0.140563161217456,0.140563161217457,0.140563161217456,0.140563161217457
