"","Binomial","Freq","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Acanthis_flammea","Acanthis_flammea",52,1,0.00518036419874524,0.00495850132966746,0.00467616101218782,0.00434861279199472,0.00400397949418618,0.00364380237732953,0.00324397790430087,0.00280318525101264,0.00236574759796215,0.00198095170949708,0.00165760170498863,0.00137881891111313,0.00114926384656788,0.000999251246009525,0.00093852144606732,0.000930644696047089,NA
"Acanthis_hornemanni","Acanthis_hornemanni",52,1,0.00568094097699334,0.00596951926669176,0.00619723646804271,0.0063701884049584,0.0065024985965374,0.00658807761181224,0.00660824015403649,0.00656555973917072,0.00649261661640432,0.00642227669981243,0.00636191847739054,0.00630373485113078,0.00624946909444712,0.00621269643043987,0.00619972193526008,0.00620006215485547,NA
"Accipiter_cooperii","Accipiter_cooperii",53,1,0.00337584605233276,0.00125710911881183,-0.000804103279965274,-0.00250629801058899,-0.00365683030949016,-0.00419325247653668,-0.00412208595339991,-0.0035113652375891,-0.00250984655116215,-0.00129887303803522,-2.43092309566428e-05,0.0011813926341615,0.0021319551090706,0.00263053287143378,0.0026352366696889,0.00235557108521234,0.00211896631245501
"Accipiter_gentilis","Accipiter_gentilis",53,1,-0.00131773633878884,-0.00149570508566987,-0.00165995485086357,-0.00181476983461382,-0.00196397026656059,-0.00210587300209997,-0.00223552342368816,-0.00234913564136896,-0.00244509545724103,-0.002522629203636,-0.00258227207468331,-0.00262774613504058,-0.00266508582902203,-0.0026983703055472,-0.00272678629591994,-0.0027465959475661,-0.0027557865455754
"Accipiter_striatus","Accipiter_striatus",53,1,-0.00157447377335762,-0.00228995966320289,-0.0031103516132025,-0.00408256796038708,-0.00525432917382473,-0.00656882736487541,-0.00783721868674858,-0.0088616328674731,-0.0095985960282674,-0.0101650699153868,-0.0106640481454692,-0.0110521814712512,-0.0112313581671644,-0.0112334546485282,-0.0112225617502824,-0.0112992068244917,-0.0113919630608801
"Acipenser_brevirostrum","Acipenser_brevirostrum",3,1,-0.0183155845399492,-0.0183155845399492,-0.0183155845399492,-0.0183155845399492,-0.0127632006017619,-0.0127632006017624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_fulvescens","Acipenser_fulvescens",59,1,-0.0420814748196977,0.00996115659860575,0.0561804959528257,0.0587547869834028,0.012367178772652,-0.0404148993708421,-0.0491886958219572,-0.0164302165941631,0.0205657339179437,0.00453893900727342,0.0167950432122361,0.0734617644898953,0.0786784228326131,0.0808293164553998,0.0954242509439325,0.0954242509439325,-0.477121254719662
"Acipenser_medirostris","Acipenser_medirostris",4,1,NA,0.00551019026692323,0.00551019026692323,0.00551019026692323,0.00551019026692323,0.00551019026692323,0.00551019026692323,-0.0288720079778972,-0.0288720079778972,-0.305697195700486,-0.305697195700487,NA,NA,NA,NA,NA,NA
"Acipenser_oxyrinchus","Acipenser_oxyrinchus",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acipenser_transmontanus","Acipenser_transmontanus",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actitis_macularius","Actitis_macularius",53,1,-0.00992638580627808,-0.00888324562787907,-0.00779734274702021,-0.00678026244858754,-0.00579691482917977,-0.00465616628435594,-0.00325465726400459,-0.00175656334751828,-0.000433815653349878,0.000635786309711173,0.00161195657074631,0.00265314710258624,0.00374848016793294,0.0047973831264857,0.00572345721802947,0.00643947689484087,0.00682190877622246
"Aechmophorus_occidentalis","Aechmophorus_occidentalis",33,1,-0.00742461111942117,-0.00990781886178371,-0.00949618305954703,-0.00822105382222105,-0.0075442348953052,-0.00709781156135925,-0.00568662331072955,-0.0031333749938075,-0.000744943788317132,-6.66943881243443e-05,-0.00151849687610728,-0.00424444527581458,-0.00693617061779817,-0.00865153073028135,-0.00915698196384207,-0.00887330630487859,-0.00850472716046757
