ID,min_year,max_year
1,1970,1988
2,1975,1988
3,1980,1987
4,1980,2002
5,1971,1996
6,1970,1993
7,1970,1993
8,1970,1993
9,1970,1993
10,1970,1994
11,1970,1993
12,1970,1994
13,1970,1993
14,1970,1994
15,1970,1995
16,1970,1994
17,1970,1992
18,1970,1983
19,1970,1991
20,1970,1988
21,1970,1988
22,1970,1988
23,1974,1991
24,1974,1988
25,1977,1991
26,1977,1990
27,1971,1992
28,1976,1988
29,1986,1991
30,1985,1991
31,1985,1991
33,1991,1994
34,1985,1990
35,1985,1990
36,1991,1994
38,1978,2000
39,1973,1986
40,1987,2011
41,1987,2011
42,1987,2011
43,1990,2000
46,1970,2005
47,1970,2001
48,1970,1995
49,1995,2004
52,1970,1976
53,1972,1991
54,1970,1992
55,1972,1991
57,1972,1991
58,1979,1987
60,1972,1991
63,1982,1997
64,1983,1996
65,1993,2002
70,1975,2001
71,1975,2001
72,1984,2001
73,1998,2001
74,1970,1974
76,1970,1992
77,1985,1993
78,1992,1994
79,1992,1994
80,1992,1994
81,1990,1995
83,1998,2002
84,1998,2002
92,1994,2000
93,1994,1999
94,1994,1999
95,1994,1999
96,1995,2000
97,1995,2000
98,1995,2000
99,1995,1999
101,1985,1994
103,1986,1991
104,1998,2001
105,1998,2002
106,1998,2002
107,1977,2001
108,1977,2001
109,1987,1994
110,1987,1994
126,1995,1998
127,1995,1998
128,1995,1998
129,1995,1999
130,1995,1999
131,1996,1998
132,1996,1998
133,1971,2003
134,1974,1993
135,1974,2003
136,1995,1998
137,1995,1999
138,1995,1999
139,1997,1998
140,1978,2004
141,1996,2004
142,1996,2013
143,1972,1995
144,1996,2012
148,2000,2006
149,2000,2006
150,2000,2006
151,1998,2004
152,1998,2004
153,1998,2005
154,1997,2006
155,1997,2006
156,1997,2006
157,1999,2005
158,1999,2005
159,1970,2007
160,1970,2007
161,1970,2007
162,1970,2007
163,1970,2007
164,1998,2004
165,1978,2010
166,1970,2010
167,1993,2007
168,1993,2010
169,1993,2010
170,1970,2009
172,1983,1989
173,1987,1989
174,1998,1999
175,1987,2017
176,2001,2005
177,1989,1990
178,1970,1974
179,1970,1974
180,1970,1972
181,1970,1975
182,1970,1974
183,1970,1975
184,1970,1975
185,1970,1975
186,1970,1975
189,1970,1995
190,1983,1984
191,1975,1976
192,1976,1977
193,1970,1971
194,1988,1997
195,1993,1996
196,1993,1997
197,1993,1997
198,1990,1991
199,1970,1979
200,1970,1979
201,1978,1989
207,1970,1995
208,1970,1995
209,1970,1995
216,1988,1998
217,1999,2001
218,1999,2001
