"year","CI_high","CI_low","LPI_final","npops","nsp","threshold","pct"
"1970",1,1,1,3975,844,-1.05920377865063,"5%"
"1971",1.01992189940325,1.0046692712669,1.01230103638771,3975,844,-1.05920377865063,"5%"
"1972",1.03762720808415,1.00958842471759,1.02346096160979,3975,844,-1.05920377865063,"5%"
"1973",1.05119588911486,1.01137721967674,1.03120893514251,3975,844,-1.05920377865063,"5%"
"1974",1.06163649590273,1.0122750606624,1.03660551636011,3975,844,-1.05920377865063,"5%"
"1975",1.0727275861371,1.01404471552316,1.04317387375394,3975,844,-1.05920377865063,"5%"
"1976",1.07981060638041,1.01394873213002,1.04647421793741,3975,844,-1.05920377865063,"5%"
"1977",1.08524155883431,1.01167557918441,1.0481155263043,3975,844,-1.05920377865063,"5%"
"1978",1.09196103059227,1.01221882613917,1.05187105171601,3975,844,-1.05920377865063,"5%"
"1979",1.10158596323722,1.01723532907134,1.05919475727002,3975,844,-1.05920377865063,"5%"
"1980",1.11443143880813,1.02522683377389,1.06976627090205,3975,844,-1.05920377865063,"5%"
"1981",1.12715431758898,1.03286951260359,1.0800786739894,3975,844,-1.05920377865063,"5%"
"1982",1.13628094319845,1.03762813078788,1.0863103966487,3975,844,-1.05920377865063,"5%"
"1983",1.14652904340215,1.04245339498262,1.09331306679627,3975,844,-1.05920377865063,"5%"
"1984",1.15808298987464,1.04851184358073,1.10209282028584,3975,844,-1.05920377865063,"5%"
"1985",1.16937040267363,1.05532312479473,1.11122712430222,3975,844,-1.05920377865063,"5%"
"1986",1.17866205971481,1.06042191489604,1.11845558580475,3975,844,-1.05920377865063,"5%"
"1987",1.18279286656339,1.06098429850101,1.12065212311404,3975,844,-1.05920377865063,"5%"
"1988",1.187371560263,1.06246583186886,1.12316450624227,3975,844,-1.05920377865063,"5%"
"1989",1.19093337481535,1.062764405996,1.12499298384816,3975,844,-1.05920377865063,"5%"
"1990",1.19503038190007,1.06322230793798,1.12732754832184,3975,844,-1.05920377865063,"5%"
"1991",1.19673888551158,1.06006439669503,1.12609279848407,3975,844,-1.05920377865063,"5%"
"1992",1.19941942616258,1.05785817628646,1.12573340414956,3975,844,-1.05920377865063,"5%"
"1993",1.21228004751642,1.06604977732193,1.13585734310754,3975,844,-1.05920377865063,"5%"
"1994",1.23101356168697,1.07828957356423,1.15133629824155,3975,844,-1.05920377865063,"5%"
"1995",1.24301719894266,1.08314564651921,1.15992353438532,3975,844,-1.05920377865063,"5%"
"1996",1.25629760371309,1.09072541045553,1.17025747659056,3975,844,-1.05920377865063,"5%"
"1997",1.26040143357229,1.09244268518316,1.17322330522687,3975,844,-1.05920377865063,"5%"
"1998",1.25480248176544,1.08455617371914,1.16582736403109,3975,844,-1.05920377865063,"5%"
"1999",1.24752443996541,1.07487728588866,1.15718505038852,3975,844,-1.05920377865063,"5%"
"2000",1.24747016101739,1.07029795876856,1.15463888489811,3975,844,-1.05920377865063,"5%"
"2001",1.24957245556506,1.0684863390778,1.15486514234145,3975,844,-1.05920377865063,"5%"
"2002",1.25514280936974,1.0687122154306,1.15712588768347,3975,844,-1.05920377865063,"5%"
"2003",1.25942829250432,1.07059300432029,1.15969536354093,3975,844,-1.05920377865063,"5%"
"2004",1.26545175984377,1.0734363900982,1.16447556115763,3975,844,-1.05920377865063,"5%"
"2005",1.28133986488472,1.08403535060554,1.17736187011074,3975,844,-1.05920377865063,"5%"
"2006",1.2960163941713,1.09379266992215,1.18944550416656,3975,844,-1.05920377865063,"5%"
"2007",1.30992802490693,1.10408188870914,1.2016917493451,3975,844,-1.05920377865063,"5%"
"2008",1.31866695672113,1.10897400828217,1.20823871308357,3975,844,-1.05920377865063,"5%"
"2009",1.32538454059411,1.11168584094411,1.21254978350283,3975,844,-1.05920377865063,"5%"
"2010",1.3340885757382,1.11544942499698,1.21805564574115,3975,844,-1.05920377865063,"5%"
"2011",1.34365536293512,1.11971911865026,1.22511955175837,3975,844,-1.05920377865063,"5%"
"2012",1.3531764959822,1.12418251708962,1.23191475878231,3975,844,-1.05920377865063,"5%"
"2013",1.36647593225996,1.13152671017844,1.2419215297008,3975,844,-1.05920377865063,"5%"
"2014",1.38179509596801,1.14021947968251,1.25351020241555,3975,844,-1.05920377865063,"5%"
"2015",1.39944112335746,1.15085395323505,1.26740640163052,3975,844,-1.05920377865063,"5%"
"2016",1.41214755065788,1.15834306777348,1.27748062613294,3975,844,-1.05920377865063,"5%"
"2017",1.41406565016619,1.15864150583168,1.27865261800627,3975,844,-1.05920377865063,"5%"
"2018",1.41709914189997,1.15880058008589,1.28052197473492,3975,844,-1.05920377865063,"5%"
"2019",1.43103494474622,1.16937395507109,1.29260518800259,3975,844,-1.05920377865063,"5%"
"2020",1.45093837367646,1.18374988673743,1.30936380445366,3975,844,-1.05920377865063,"5%"
"2021",1.47258985591519,1.19890400209049,1.32770921735432,3975,844,-1.05920377865063,"5%"
"2022",1.49294692368362,1.21193391989349,1.34359323515316,3975,844,-1.05920377865063,"5%"
"1970",1,1,1,3765,800,-0.779482926228256,"10%"
"1971",1.02293178469434,1.00796348503971,1.01552763194354,3765,800,-0.779482926228256,"10%"
"1972",1.04435407267507,1.01667364401887,1.03044435411898,3765,800,-0.779482926228256,"10%"
"1973",1.06176941521055,1.02233599976143,1.04210677615726,3765,800,-0.779482926228256,"10%"
"1974",1.07516131725473,1.02680385735657,1.05099886810345,3765,800,-0.779482926228256,"10%"
"1975",1.08911576439533,1.03267018681211,1.06071697941504,3765,800,-0.779482926228256,"10%"
"1976",1.09933194393427,1.03468492209295,1.06711229043444,3765,800,-0.779482926228256,"10%"
"1977",1.10910089279201,1.0353986585099,1.07212981745147,3765,800,-0.779482926228256,"10%"
"1978",1.12014670900988,1.03974211281203,1.07967591476068,3765,800,-0.779482926228256,"10%"
"1979",1.13423614382232,1.04878196078673,1.09106804857477,3765,800,-0.779482926228256,"10%"
"1980",1.15138638886812,1.06067831784317,1.10546096585635,3765,800,-0.779482926228256,"10%"
"1981",1.16825217718372,1.07193079590412,1.11957149802863,3765,800,-0.779482926228256,"10%"
"1982",1.18029204354191,1.07903423890003,1.12909015469482,3765,800,-0.779482926228256,"10%"
"1983",1.19368477956989,1.0864273426953,1.13953537134192,3765,800,-0.779482926228256,"10%"
"1984",1.20982114163257,1.09668165078502,1.15222871878586,3765,800,-0.779482926228256,"10%"
"1985",1.22697021497489,1.10849224209114,1.16617974076786,3765,800,-0.779482926228256,"10%"
"1986",1.24197951156959,1.1198428323631,1.17907769108081,3765,800,-0.779482926228256,"10%"
"1987",1.25162879486439,1.12577526324578,1.18650035117095,3765,800,-0.779482926228256,"10%"
"1988",1.26179534375732,1.1322398674718,1.19454515153439,3765,800,-0.779482926228256,"10%"
"1989",1.27213871134592,1.13751467123978,1.20241766822098,3765,800,-0.779482926228256,"10%"
"1990",1.28380940650743,1.14484106003253,1.21140001504783,3765,800,-0.779482926228256,"10%"
"1991",1.29099872810219,1.14472616919974,1.21477279219958,3765,800,-0.779482926228256,"10%"
"1992",1.29812644940341,1.14620299403006,1.21904084927302,3765,800,-0.779482926228256,"10%"
"1993",1.31650170966215,1.16011911255566,1.23505067256662,3765,800,-0.779482926228256,"10%"
"1994",1.34155096416716,1.17721343564502,1.25616337098653,3765,800,-0.779482926228256,"10%"
"1995",1.36003860078936,1.18783514025515,1.2702985238122,3765,800,-0.779482926228256,"10%"
"1996",1.37850476290219,1.20058064835314,1.28610881930734,3765,800,-0.779482926228256,"10%"
"1997",1.38936922102956,1.20607806775783,1.29454598235458,3765,800,-0.779482926228256,"10%"
"1998",1.38917655816382,1.20282882281268,1.29216391389757,3765,800,-0.779482926228256,"10%"
"1999",1.38679812091923,1.19451903380072,1.28702796624473,3765,800,-0.779482926228256,"10%"
"2000",1.38961001362915,1.19359365650332,1.28802069097075,3765,800,-0.779482926228256,"10%"
"2001",1.3966920022959,1.19434033139763,1.29136837295365,3765,800,-0.779482926228256,"10%"
"2002",1.40602270350516,1.19665432972555,1.29684811121832,3765,800,-0.779482926228256,"10%"
"2003",1.41356565446254,1.20058029952896,1.30220724062653,3765,800,-0.779482926228256,"10%"
"2004",1.42223446705283,1.20618710205529,1.30965025239692,3765,800,-0.779482926228256,"10%"
"2005",1.44276590670405,1.22171445515067,1.32729333732255,3765,800,-0.779482926228256,"10%"
"2006",1.46290355757847,1.23624427117426,1.34455435795109,3765,800,-0.779482926228256,"10%"
"2007",1.48426463273715,1.2517016833808,1.36266436895258,3765,800,-0.779482926228256,"10%"
"2008",1.4976197922843,1.26123278940082,1.37466474676943,3765,800,-0.779482926228256,"10%"
"2009",1.50964960238518,1.2691482541322,1.384378265035,3765,800,-0.779482926228256,"10%"
"2010",1.52442295490925,1.27871558772602,1.39713361224773,3765,800,-0.779482926228256,"10%"
"2011",1.54262419309264,1.29077812913404,1.41204567172734,3765,800,-0.779482926228256,"10%"
"2012",1.56137532070392,1.30297534525824,1.42670947330237,3765,800,-0.779482926228256,"10%"
"2013",1.58382684150065,1.31814091831273,1.44471564679085,3765,800,-0.779482926228256,"10%"
"2014",1.60755457082223,1.33462500399964,1.46521566463411,3765,800,-0.779482926228256,"10%"
"2015",1.63466555128555,1.35451027432688,1.48785239826314,3765,800,-0.779482926228256,"10%"
"2016",1.65353023388714,1.36941008360996,1.50503661301305,3765,800,-0.779482926228256,"10%"
"2017",1.6605721380063,1.37342026678909,1.51028147880291,3765,800,-0.779482926228256,"10%"
"2018",1.66552123846952,1.37571226902522,1.51420652056007,3765,800,-0.779482926228256,"10%"
"2019",1.68552113922152,1.38887539502764,1.53033535966087,3765,800,-0.779482926228256,"10%"
"2020",1.71378138024104,1.40899250846738,1.55373981416734,3765,800,-0.779482926228256,"10%"
"2021",1.74609116116057,1.43228867310204,1.58100913613563,3765,800,-0.779482926228256,"10%"
"2022",1.7791887037129,1.45546498271143,1.60828125551035,3765,800,-0.779482926228256,"10%"
"1970",1,1,1,3406,755,-0.603726379357955,"15%"
"1971",1.023263164272,1.00789686262872,1.01566708278628,3406,755,-0.603726379357955,"15%"
"1972",1.04720110991563,1.01917020997911,1.03327549792925,3406,755,-0.603726379357955,"15%"
"1973",1.06842130783987,1.02834283505745,1.04874929022587,3406,755,-0.603726379357955,"15%"
"1974",1.08539285083578,1.03720546383792,1.06152115318209,3406,755,-0.603726379357955,"15%"
