"year","CI_high","CI_low","LPI_final","npops","nsp","threshold","pct"
"1970",1,1,1,3724,799,-1.05920377865063,"5%"
"1971",1.01326518161029,0.999260865945328,1.00634321796251,3724,799,-1.05920377865063,"5%"
"1972",1.02326071619392,0.99840693901686,1.01076152794303,3724,799,-1.05920377865063,"5%"
"1973",1.02794255096101,0.993985121472692,1.01103748217543,3724,799,-1.05920377865063,"5%"
"1974",1.03006885250972,0.988881718391081,1.0095327703943,3724,799,-1.05920377865063,"5%"
"1975",1.03269519387011,0.984846568423369,1.00891921448374,3724,799,-1.05920377865063,"5%"
"1976",1.03259130171915,0.979088339303604,1.00563665263923,3724,799,-1.05920377865063,"5%"
"1977",1.03123987423188,0.971967026816927,1.00101308541068,3724,799,-1.05920377865063,"5%"
"1978",1.03090338207522,0.966478411208684,0.998169718499795,3724,799,-1.05920377865063,"5%"
"1979",1.03295623329819,0.965350938849227,0.998824146489349,3724,799,-1.05920377865063,"5%"
"1980",1.03887200343889,0.967687308888889,1.00305960045161,3724,799,-1.05920377865063,"5%"
"1981",1.04421213785526,0.968713594016034,1.00603434024333,3724,799,-1.05920377865063,"5%"
"1982",1.04431753994559,0.965860910309182,1.0044507103264,3724,799,-1.05920377865063,"5%"
"1983",1.04499019107937,0.963561361360651,1.00371819789604,3724,799,-1.05920377865063,"5%"
"1984",1.04886537209391,0.963166477220205,1.00512738779662,3724,799,-1.05920377865063,"5%"
"1985",1.05324900692501,0.96448850993723,1.00785484455124,3724,799,-1.05920377865063,"5%"
"1986",1.05633365365771,0.96507693392579,1.01015578437187,3724,799,-1.05920377865063,"5%"
"1987",1.05645401046438,0.962341705131985,1.0087742574694,3724,799,-1.05920377865063,"5%"
"1988",1.05834392332111,0.960850915122608,1.00871472760119,3724,799,-1.05920377865063,"5%"
"1989",1.05965865452133,0.95804594272138,1.00803573550408,3724,799,-1.05920377865063,"5%"
"1990",1.0605038344147,0.95635531503748,1.00749302711176,3724,799,-1.05920377865063,"5%"
"1991",1.05790361202476,0.950197582324473,1.00279197288006,3724,799,-1.05920377865063,"5%"
"1992",1.05396020656263,0.943374788326957,0.997435174551792,3724,799,-1.05920377865063,"5%"
"1993",1.05781731146858,0.944335867833304,0.999911340458495,3724,799,-1.05920377865063,"5%"
"1994",1.06607020103132,0.948396344956869,1.00601606652398,3724,799,-1.05920377865063,"5%"
"1995",1.06695029429056,0.946256479171303,1.00618314186043,3724,799,-1.05920377865063,"5%"
"1996",1.06942525812423,0.945331323269513,1.00656910510994,3724,799,-1.05920377865063,"5%"
"1997",1.06339494965074,0.939201473474246,1.00025660421279,3724,799,-1.05920377865063,"5%"
"1998",1.04654746448443,0.921981316598614,0.983124728719386,3724,799,-1.05920377865063,"5%"
"1999",1.03001440127715,0.905061932313182,0.966335639639952,3724,799,-1.05920377865063,"5%"
"2000",1.02168711216766,0.895342981520281,0.956953647173214,3724,799,-1.05920377865063,"5%"
"2001",1.01603885962755,0.887872214717115,0.950690753619873,3724,799,-1.05920377865063,"5%"
"2002",1.01343609450026,0.882327802794528,0.946651259058077,3724,799,-1.05920377865063,"5%"
"2003",1.00968820755764,0.876895267425701,0.942164307513651,3724,799,-1.05920377865063,"5%"
"2004",1.00735724622427,0.874458774372192,0.939889462601199,3724,799,-1.05920377865063,"5%"
"2005",1.01180016040534,0.878212862013692,0.944102530243694,3724,799,-1.05920377865063,"5%"
"2006",1.01699474688057,0.88176362025606,0.948276031820975,3724,799,-1.05920377865063,"5%"
"2007",1.02302521041288,0.886291718941532,0.95353036074719,3724,799,-1.05920377865063,"5%"
"2008",1.02479849851832,0.887401115307681,0.954815487157963,3724,799,-1.05920377865063,"5%"
"2009",1.02420418150865,0.88587331020319,0.953794427913962,3724,799,-1.05920377865063,"5%"
"2010",1.02428127419919,0.884751595169762,0.953205199103999,3724,799,-1.05920377865063,"5%"
"2011",1.02518466253971,0.883246906241144,0.953206022114161,3724,799,-1.05920377865063,"5%"
"2012",1.02635624590155,0.882485513833047,0.953052112277625,3724,799,-1.05920377865063,"5%"
"2013",1.02970867075715,0.883732658951601,0.95579192913758,3724,799,-1.05920377865063,"5%"
"2014",1.03448613968138,0.886019453402279,0.959099682255555,3724,799,-1.05920377865063,"5%"
"2015",1.0414531239568,0.891087449919527,0.9646305140839,3724,799,-1.05920377865063,"5%"
"2016",1.04493993801733,0.893171141161439,0.967383129806986,3724,799,-1.05920377865063,"5%"
"2017",1.04299402053396,0.891399642451081,0.965386119326177,3724,799,-1.05920377865063,"5%"
"2018",1.04161837053976,0.889536442034193,0.963868566106478,3724,799,-1.05920377865063,"5%"
