"year","CI_high","CI_low","LPI_final","npops","nsp","threshold","pct"
"1970",1,1,1,4177,844,1.18147617299566,"95%"
"1971",1.01168006574828,0.994925662958321,1.00303403715108,4177,844,1.18147617299566,"95%"
"1972",1.01841301829164,0.9879045122675,1.00245622328944,4177,844,1.18147617299566,"95%"
"1973",1.01840682183037,0.975887020887526,0.995999108854333,4177,844,1.18147617299566,"95%"
"1974",1.01388197764926,0.960731779977969,0.985901304098902,4177,844,1.18147617299566,"95%"
"1975",1.00965474305286,0.949763388745492,0.977674793625692,4177,844,1.18147617299566,"95%"
"1976",1.00278280837664,0.938450888194093,0.968603301454895,4177,844,1.18147617299566,"95%"
"1977",0.995039943017228,0.925829986037717,0.958813310318193,4177,844,1.18147617299566,"95%"
"1978",0.991430993119637,0.917576357927388,0.95258280819185,4177,844,1.18147617299566,"95%"
"1979",0.989925313045372,0.913577401802097,0.94989231703525,4177,844,1.18147617299566,"95%"
"1980",0.992491083071241,0.9130197122814,0.950669464115147,4177,844,1.18147617299566,"95%"
"1981",0.99271799593875,0.909879080075084,0.949394672002643,4177,844,1.18147617299566,"95%"
"1982",0.987904884143494,0.90019416518481,0.941838420495648,4177,844,1.18147617299566,"95%"
"1983",0.982781097170663,0.890699188345205,0.934484361737055,4177,844,1.18147617299566,"95%"
"1984",0.980605102920911,0.884198924152658,0.930376159278075,4177,844,1.18147617299566,"95%"
"1985",0.979606075107144,0.880650227264771,0.928184996552993,4177,844,1.18147617299566,"95%"
"1986",0.976905622973262,0.87524419633428,0.924040892002091,4177,844,1.18147617299566,"95%"
"1987",0.971660203208787,0.86791431565987,0.917656007587059,4177,844,1.18147617299566,"95%"
"1988",0.968823805201525,0.863645750759265,0.914015023007992,4177,844,1.18147617299566,"95%"
"1989",0.965317643864082,0.857872225203936,0.909321659970507,4177,844,1.18147617299566,"95%"
"1990",0.962527532966719,0.852589977829522,0.905113204089914,4177,844,1.18147617299566,"95%"
"1991",0.955906852374318,0.843752662355865,0.897449245776186,4177,844,1.18147617299566,"95%"
"1992",0.949407130990318,0.833888380869151,0.888971853499548,4177,844,1.18147617299566,"95%"
"1993",0.949204701069679,0.83025649916956,0.8869685890134,4177,844,1.18147617299566,"95%"
"1994",0.952115760521651,0.830665312757479,0.888433956854924,4177,844,1.18147617299566,"95%"
"1995",0.950044579570246,0.826429712353509,0.885590757503308,4177,844,1.18147617299566,"95%"
"1996",0.948548196017536,0.82459543183182,0.883962988178799,4177,844,1.18147617299566,"95%"
"1997",0.941333141637732,0.817364468180734,0.876962844617816,4177,844,1.18147617299566,"95%"
"1998",0.924607537915823,0.801174339144685,0.860270047345724,4177,844,1.18147617299566,"95%"
"1999",0.907306321686421,0.784520612814207,0.843116814456537,4177,844,1.18147617299566,"95%"
"2000",0.895901034016646,0.772031685745574,0.830928855422472,4177,844,1.18147617299566,"95%"
"2001",0.88709645378841,0.760766842611465,0.821016765384653,4177,844,1.18147617299566,"95%"
"2002",0.879101796435747,0.750360169089461,0.81175648068463,4177,844,1.18147617299566,"95%"
"2003",0.871211095716021,0.740664689815775,0.802616132549389,4177,844,1.18147617299566,"95%"
"2004",0.865065639614758,0.734216717045704,0.796615695197348,4177,844,1.18147617299566,"95%"
"2005",0.864202549767186,0.732179502573644,0.794815118983579,4177,844,1.18147617299566,"95%"
"2006",0.861176597571348,0.72877909692762,0.791566473505115,4177,844,1.18147617299566,"95%"
"2007",0.859997001332403,0.726771591746748,0.790008969245096,4177,844,1.18147617299566,"95%"
"2008",0.855611503396863,0.720676462175972,0.7848786919546,4177,844,1.18147617299566,"95%"
"2009",0.849244083228325,0.71335941927805,0.777986322589082,4177,844,1.18147617299566,"95%"
"2010",0.843336843934877,0.706756526042121,0.771622853856404,4177,844,1.18147617299566,"95%"
"2011",0.838970613150465,0.70081484317435,0.766006357760426,4177,844,1.18147617299566,"95%"
"2012",0.833833464002597,0.69453314126613,0.760305159291647,4177,844,1.18147617299566,"95%"
"2013",0.830976004300888,0.690835205450333,0.757211996275006,4177,844,1.18147617299566,"95%"
"2014",0.830367968870531,0.688346911773525,0.755317803386914,4177,844,1.18147617299566,"95%"
"2015",0.831813241737137,0.687801091785288,0.75589536281174,4177,844,1.18147617299566,"95%"
"2016",0.832111035075154,0.687670813100402,0.755786726871913,4177,844,1.18147617299566,"95%"
"2017",0.827856116574546,0.682945167071357,0.751472059951228,4177,844,1.18147617299566,"95%"
"2018",0.822062906186039,0.677077895786295,0.745544744458551,4177,844,1.18147617299566,"95%"
"2019",0.822280525999587,0.6766543912078,0.745208520037083,4177,844,1.18147617299566,"95%"
"2020",0.824766862619004,0.67715586237004,0.746693660307182,4177,844,1.18147617299566,"95%"
"2021",0.826897326985024,0.676889244439286,0.747538438181281,4177,844,1.18147617299566,"95%"
"2022",0.824899563696702,0.671963355647294,0.743912509749946,4177,844,1.18147617299566,"95%"
"1970",1,1,1,3937,800,0.799234298580584,"90%"
"1971",1.00980330802016,0.992633106193132,1.00103538707424,3937,800,0.799234298580584,"90%"
"1972",1.01442800716019,0.983644649597159,0.998508982509222,3937,800,0.799234298580584,"90%"
"1973",1.01235633222173,0.969224596543409,0.990011794587808,3937,800,0.799234298580584,"90%"
"1974",1.00596404813347,0.952462525040093,0.977839961688009,3937,800,0.799234298580584,"90%"
"1975",1.00053193349907,0.938703368202965,0.968071124890417,3937,800,0.799234298580584,"90%"
"1976",0.992610134868795,0.925623045108636,0.957376842783472,3937,800,0.799234298580584,"90%"
"1977",0.97963364243214,0.909059748747364,0.942723990050043,3937,800,0.799234298580584,"90%"
"1978",0.969798356189775,0.897389494415749,0.932008246724267,3937,800,0.799234298580584,"90%"
"1979",0.965797018089311,0.890827593757979,0.926670746928389,3937,800,0.799234298580584,"90%"
"1980",0.966027289914616,0.888373413438689,0.925400414466689,3937,800,0.799234298580584,"90%"
"1981",0.96533628173028,0.883773628049014,0.922761685709674,3937,800,0.799234298580584,"90%"
"1982",0.959276856917306,0.873349932777052,0.914079341008249,3937,800,0.799234298580584,"90%"
"1983",0.952970133555092,0.862447709058738,0.905207318722162,3937,800,0.799234298580584,"90%"
"1984",0.948750843601382,0.854842271500963,0.899329361989886,3937,800,0.799234298580584,"90%"
"1985",0.945473641929375,0.848610283479509,0.894462769559717,3937,800,0.799234298580584,"90%"
"1986",0.939554021190648,0.840649932509107,0.887473315631591,3937,800,0.799234298580584,"90%"
"1987",0.9317715452394,0.831012929474885,0.878915765002389,3937,800,0.799234298580584,"90%"
"1988",0.927433333585865,0.824571472289018,0.873445799118349,3937,800,0.799234298580584,"90%"
"1989",0.921909303290225,0.816903395898192,0.8665199477714,3937,800,0.799234298580584,"90%"
"1990",0.91560347604245,0.807947759310081,0.85906863495963,3937,800,0.799234298580584,"90%"
"1991",0.904538634006318,0.796039873014038,0.847673476796336,3937,800,0.799234298580584,"90%"
"1992",0.8939545723043,0.783069669480251,0.836006368583797,3937,800,0.799234298580584,"90%"
"1993",0.889444544401201,0.777174163700464,0.830241881025199,3937,800,0.799234298580584,"90%"
"1994",0.887803926551105,0.773718593346698,0.827680500747942,3937,800,0.799234298580584,"90%"
"1995",0.881610613553748,0.76613405793199,0.82097056309331,3937,800,0.799234298580584,"90%"
"1996",0.875654762948837,0.761122036477074,0.8156259027219,3937,800,0.799234298580584,"90%"
"1997",0.865402577241395,0.752263442175698,0.806134156266602,3937,800,0.799234298580584,"90%"
"1998",0.846272970231673,0.734234868612074,0.787770812689093,3937,800,0.799234298580584,"90%"
"1999",0.827525747537482,0.716130418376645,0.769274739417435,3937,800,0.799234298580584,"90%"
"2000",0.813338086567427,0.701693493892719,0.754890765405255,3937,800,0.799234298580584,"90%"
"2001",0.801732967780792,0.689163301571961,0.742790032807752,3937,800,0.799234298580584,"90%"
"2002",0.791243874069102,0.677232846124594,0.731494335681336,3937,800,0.799234298580584,"90%"
"2003",0.780378152779524,0.666290568741898,0.720431823245761,3937,800,0.799234298580584,"90%"
"2004",0.772062385602813,0.658308041460622,0.712261309773938,3937,800,0.799234298580584,"90%"
"2005",0.767789472236783,0.654320491886726,0.708145915350778,3937,800,0.799234298580584,"90%"
"2006",0.761844791107989,0.64824700780807,0.702420402861191,3937,800,0.799234298580584,"90%"
"2007",0.758212953302673,0.643705008110418,0.698159252062046,3937,800,0.799234298580584,"90%"
"2008",0.749734342069937,0.63517703225799,0.689760585294303,3937,800,0.799234298580584,"90%"
"2009",0.739750461493968,0.624969135860834,0.679795209666874,3937,800,0.799234298580584,"90%"
"2010",0.730220228199459,0.615203820633064,0.67026159739138,3937,800,0.799234298580584,"90%"
"2011",0.721816568024789,0.606385016448542,0.66115265813348,3937,800,0.799234298580584,"90%"
"2012",0.71426194710604,0.598042011750182,0.653182267013119,3937,800,0.799234298580584,"90%"
"2013",0.709041406477753,0.59205983547787,0.647424778060877,3937,800,0.799234298580584,"90%"
"2014",0.704802405611302,0.587389038213732,0.64281297867782,3937,800,0.799234298580584,"90%"
"2015",0.703003682768616,0.584832899421352,0.640649426560224,3937,800,0.799234298580584,"90%"
"2016",0.701731215926102,0.582556155945474,0.638615090544621,3937,800,0.799234298580584,"90%"
"2017",0.696548476246828,0.577432729522273,0.633448524069666,3937,800,0.799234298580584,"90%"
"2018",0.690134441811756,0.571141879363537,0.626881953844222,3937,800,0.799234298580584,"90%"
"2019",0.688423160576293,0.569257522697362,0.625398676065384,3937,800,0.799234298580584,"90%"
"2020",0.688670817646563,0.568652724203331,0.625139701302496,3937,800,0.799234298580584,"90%"
"2021",0.688447976047049,0.566843654011836,0.624237002089643,3937,800,0.799234298580584,"90%"
"2022",0.685089147220346,0.560679452046787,0.619370919924678,3937,800,0.799234298580584,"90%"
"1970",1,1,1,3723,755,0.603143679855457,"85%"
"1971",1.0070738135006,0.990430943689389,0.998555821531967,3723,755,0.603143679855457,"85%"
"1972",1.01052890267802,0.980058290065823,0.994783266170409,3723,755,0.603143679855457,"85%"
"1973",1.00725019798997,0.964934657390739,0.985106600910145,3723,755,0.603143679855457,"85%"
"1974",0.997759535032458,0.944802304892776,0.969880967973187,3723,755,0.603143679855457,"85%"
"1975",0.989652748068693,0.928162738291855,0.957399215566398,3723,755,0.603143679855457,"85%"
"1976",0.97868336139706,0.91301444842489,0.944138532990724,3723,755,0.603143679855457,"85%"
"1977",0.964211362169933,0.893945204108718,0.927586757121459,3723,755,0.603143679855457,"85%"
"1978",0.953196273149478,0.880968822571049,0.915745707889619,3723,755,0.603143679855457,"85%"
"1979",0.94647914831539,0.872870457601391,0.908607627573361,3723,755,0.603143679855457,"85%"
"1980",0.944387769909228,0.868173831447575,0.905225197203299,3723,755,0.603143679855457,"85%"
"1981",0.941040508439909,0.862207676623605,0.9005239454013,3723,755,0.603143679855457,"85%"
"1982",0.932806830215429,0.849298484396562,0.889830903107501,3723,755,0.603143679855457,"85%"
"1983",0.924248840891907,0.836265155265098,0.878590123148534,3723,755,0.603143679855457,"85%"
"1984",0.917354474911975,0.826363050230581,0.8702093923709,3723,755,0.603143679855457,"85%"
"1985",0.910619597307005,0.817275454569808,0.862604232993823,3723,755,0.603143679855457,"85%"
"1986",0.901002387773166,0.805889901561894,0.851992330712378,3723,755,0.603143679855457,"85%"
"1987",0.890678022446632,0.794203097226233,0.840898539681462,3723,755,0.603143679855457,"85%"
"1988",0.883337711048191,0.786461417185994,0.833377238517358,3723,755,0.603143679855457,"85%"
"1989",0.875221500543607,0.776702803498827,0.824627457728951,3723,755,0.603143679855457,"85%"
"1990",0.867370875659025,0.76713011870254,0.8156653455261,3723,755,0.603143679855457,"85%"
"1991",0.85601809186602,0.754152253777987,0.803459079945608,3723,755,0.603143679855457,"85%"
"1992",0.842910431749099,0.739331876368708,0.789454696227021,3723,755,0.603143679855457,"85%"
"1993",0.832741923931578,0.728615404621943,0.779114744904515,3723,755,0.603143679855457,"85%"
"1994",0.825199988547537,0.720651769628136,0.771445931081411,3723,755,0.603143679855457,"85%"
"1995",0.814997510795224,0.710669917080273,0.761271512653485,3723,755,0.603143679855457,"85%"
"1996",0.80643650560806,0.702881341891384,0.753022234361711,3723,755,0.603143679855457,"85%"
"1997",0.795754152949104,0.693402514291458,0.742794190380414,3723,755,0.603143679855457,"85%"
"1998",0.778081660605529,0.67660092274832,0.725888211133164,3723,755,0.603143679855457,"85%"
"1999",0.759541699931291,0.658438364047327,0.707372081516631,3723,755,0.603143679855457,"85%"
"2000",0.741383968788496,0.641423087311338,0.689836123155611,3723,755,0.603143679855457,"85%"
"2001",0.725742185519197,0.626001790448834,0.674342759366497,3723,755,0.603143679855457,"85%"
"2002",0.712987067440521,0.612980074993595,0.66122532244321,3723,755,0.603143679855457,"85%"
"2003",0.702453351751355,0.601773567542211,0.650413678290722,3723,755,0.603143679855457,"85%"
"2004",0.695569006709034,0.594399217563667,0.643184037695493,3723,755,0.603143679855457,"85%"
"2005",0.69068045702288,0.590498262665871,0.638718421347013,3723,755,0.603143679855457,"85%"
"2006",0.684068209087233,0.583771189671206,0.632014628309506,3723,755,0.603143679855457,"85%"
"2007",0.67881399602396,0.577962058512791,0.626421108838108,3723,755,0.603143679855457,"85%"
"2008",0.669002641250075,0.568305582776897,0.61667904675795,3723,755,0.603143679855457,"85%"
"2009",0.657894757616794,0.557664399350649,0.605735600776377,3723,755,0.603143679855457,"85%"
"2010",0.647450391348873,0.546779477307291,0.595178637247762,3723,755,0.603143679855457,"85%"
"2011",0.636527262866011,0.535897654049159,0.584426862646483,3723,755,0.603143679855457,"85%"
"2012",0.626557938915749,0.525827257955599,0.574288602143087,3723,755,0.603143679855457,"85%"
"2013",0.618837336642565,0.518172177664343,0.566313414348647,3723,755,0.603143679855457,"85%"
"2014",0.612462510963275,0.511760724051701,0.559875753378544,3723,755,0.603143679855457,"85%"
"2015",0.609878561149394,0.507898186191869,0.556529071561915,3723,755,0.603143679855457,"85%"
"2016",0.607441131250063,0.50474838731363,0.553656919242215,3723,755,0.603143679855457,"85%"
"2017",0.60124111382361,0.498812711156607,0.54761128753831,3723,755,0.603143679855457,"85%"
"2018",0.593124515107157,0.491695178696148,0.539858221103435,3723,755,0.603143679855457,"85%"
"2019",0.589519797103159,0.488833556558811,0.536960431625613,3723,755,0.603143679855457,"85%"
"2020",0.5884907129776,0.486753392004264,0.535327397966204,3723,755,0.603143679855457,"85%"
"2021",0.586419799662312,0.484778718325689,0.533487238742766,3723,755,0.603143679855457,"85%"
"2022",0.581747008235485,0.478856499427682,0.527885394330144,3723,755,0.603143679855457,"85%"
