"year","CI_high","CI_low","LPI_final","npops","nsp","threshold","pct"
"1970",1,1,1,5253,864,-1.06342375744147,"5%"
"1971",1.01752448313396,1.00234003673497,1.00998674089309,5253,864,-1.06342375744147,"5%"
"1972",1.03249429778164,1.00502704536898,1.01870533120479,5253,864,-1.06342375744147,"5%"
"1973",1.04339660481742,1.004633469295,1.023911791687,5253,864,-1.06342375744147,"5%"
"1974",1.05128503470651,1.00337566948513,1.02706903041527,5253,864,-1.06342375744147,"5%"
"1975",1.06000470144633,1.00473565149963,1.03196266230118,5253,864,-1.06342375744147,"5%"
"1976",1.06577388851501,1.00381430697391,1.03399545069663,5253,864,-1.06342375744147,"5%"
"1977",1.07058940473117,1.00128619512868,1.03490682933716,5253,864,-1.06342375744147,"5%"
"1978",1.07626167619215,1.00103192407805,1.03771574726286,5253,864,-1.06342375744147,"5%"
"1979",1.08420842969788,1.00456868452993,1.04364234411291,5253,864,-1.06342375744147,"5%"
"1980",1.09527698733372,1.01131574971464,1.05247875001454,5253,864,-1.06342375744147,"5%"
"1981",1.1062144486012,1.01720996388333,1.06081190401216,5253,864,-1.06342375744147,"5%"
"1982",1.11279289532856,1.01905861304607,1.06478012829496,5253,864,-1.06342375744147,"5%"
"1983",1.11993048420426,1.02106603057538,1.06938002087149,5253,864,-1.06342375744147,"5%"
"1984",1.12918195955519,1.02426289513263,1.07557226870452,5253,864,-1.06342375744147,"5%"
"1985",1.13692263873338,1.02849152937774,1.08186350244615,5253,864,-1.06342375744147,"5%"
"1986",1.14300422143825,1.03071503744825,1.08605580819615,5253,864,-1.06342375744147,"5%"
"1987",1.14383384006858,1.02891225742478,1.0853758274581,5253,864,-1.06342375744147,"5%"
"1988",1.1449777506545,1.02781305234808,1.08525183986263,5253,864,-1.06342375744147,"5%"
"1989",1.14555997511112,1.02594911356522,1.08476084066426,5253,864,-1.06342375744147,"5%"
"1990",1.14829691896134,1.02424479417221,1.08491734649851,5253,864,-1.06342375744147,"5%"
"1991",1.14877455251014,1.02061101371401,1.08335847077326,5253,864,-1.06342375744147,"5%"
"1992",1.15078330930472,1.0183822108755,1.08302121886666,5253,864,-1.06342375744147,"5%"
"1993",1.16093881323822,1.02407785545042,1.09103999415214,5253,864,-1.06342375744147,"5%"
"1994",1.17543892035057,1.03467191222457,1.10360902016409,5253,864,-1.06342375744147,"5%"
"1995",1.18442893819006,1.03833218830603,1.10966659388939,5253,864,-1.06342375744147,"5%"
"1996",1.19462175392364,1.04392048421399,1.1172027864114,5253,864,-1.06342375744147,"5%"
"1997",1.19689941556281,1.04306920869211,1.11758971189247,5253,864,-1.06342375744147,"5%"
