"year","CI_high","CI_low","LPI_final","npops","nsp","threshold","pct"
"1970",1,1,1,4949,818,-1.06342375744147,"5%"
"1971",1.01271071353772,0.998563397876177,1.00565527150869,4949,818,-1.06342375744147,"5%"
"1972",1.02169285005518,0.996824287167865,1.00914104970006,4949,818,-1.06342375744147,"5%"
"1973",1.02560108021142,0.991831435111069,1.00834745565332,4949,818,-1.06342375744147,"5%"
"1974",1.02719961803515,0.985577431440972,1.00607441990364,4949,818,-1.06342375744147,"5%"
"1975",1.03013980699219,0.980866550252766,1.00525173473151,4949,818,-1.06342375744147,"5%"
"1976",1.02974423716002,0.974896401892591,1.0019391075838,4949,818,-1.06342375744147,"5%"
"1977",1.02776979939585,0.967518684645672,0.996865347472436,4949,818,-1.06342375744147,"5%"
"1978",1.02639435972858,0.961401249402212,0.992956002865409,4949,818,-1.06342375744147,"5%"
"1979",1.02557460250395,0.958162777478102,0.991046579471199,4949,818,-1.06342375744147,"5%"
"1980",1.02923837408073,0.958465899712661,0.993167527699573,4949,818,-1.06342375744147,"5%"
"1981",1.03384776490354,0.958519039625498,0.995694114293676,4949,818,-1.06342375744147,"5%"
"1982",1.03431618425533,0.955265497487948,0.994528107307137,4949,818,-1.06342375744147,"5%"
"1983",1.03580371034643,0.953989468934978,0.994390113327784,4949,818,-1.06342375744147,"5%"
"1984",1.03924972338475,0.954360774070271,0.996246033603599,4949,818,-1.06342375744147,"5%"
"1985",1.04242750369685,0.954688453973316,0.997952433477674,4949,818,-1.06342375744147,"5%"
"1986",1.04369811614795,0.95339483455739,0.997931346461917,4949,818,-1.06342375744147,"5%"
"1987",1.04040935324335,0.948471055546283,0.993770420551894,4949,818,-1.06342375744147,"5%"
"1988",1.04021530868547,0.944956323758663,0.992156656142703,4949,818,-1.06342375744147,"5%"
"1989",1.03940033878227,0.941543764794453,0.990207935491394,4949,818,-1.06342375744147,"5%"
"1990",1.03976035968738,0.938456519066263,0.98834360961784,4949,818,-1.06342375744147,"5%"
"1991",1.0363532215337,0.932912691529562,0.983944218374609,4949,818,-1.06342375744147,"5%"
"1992",1.03342340686755,0.927149013582547,0.979097703053742,4949,818,-1.06342375744147,"5%"
"1993",1.0359419424768,0.926641873229476,0.980196322023274,4949,818,-1.06342375744147,"5%"
"1994",1.0417399388788,0.928708471109022,0.984014190925381,4949,818,-1.06342375744147,"5%"
"1995",1.04175410599841,0.925464189714461,0.982164826766808,4949,818,-1.06342375744147,"5%"
"1996",1.0412725594788,0.922948692418465,0.980727845154662,4949,818,-1.06342375744147,"5%"
"1997",1.03388023805227,0.915412021778687,0.973295552590164,4949,818,-1.06342375744147,"5%"
"1998",1.01660600726636,0.898875273329771,0.956446855767081,4949,818,-1.06342375744147,"5%"
"1999",0.999112206570159,0.882088189320712,0.939577008542998,4949,818,-1.06342375744147,"5%"
"2000",0.98750442475874,0.870224293249205,0.927784886208714,4949,818,-1.06342375744147,"5%"
"2001",0.980434111876219,0.861155033099351,0.919323274191913,4949,818,-1.06342375744147,"5%"
"2002",0.976687420233323,0.855884372603621,0.914621276601826,4949,818,-1.06342375744147,"5%"
"2003",0.974794522202511,0.852700062426292,0.912128642304084,4949,818,-1.06342375744147,"5%"
"2004",0.9751582822895,0.851312884252273,0.911956415831149,4949,818,-1.06342375744147,"5%"
"2005",0.979899656606517,0.855153349186853,0.91632130702921,4949,818,-1.06342375744147,"5%"
"2006",0.983578346767623,0.85809492938655,0.919312371646565,4949,818,-1.06342375744147,"5%"
"2007",0.987265062544267,0.860429355902692,0.922293097553605,4949,818,-1.06342375744147,"5%"
"2008",0.986312056517826,0.858577901815013,0.920612139228258,4949,818,-1.06342375744147,"5%"
"2009",0.982490644333293,0.85419114345088,0.916428753740691,4949,818,-1.06342375744147,"5%"
"2010",0.977983683451149,0.849397873304268,0.911618754054256,4949,818,-1.06342375744147,"5%"
"2011",0.973304632685262,0.843716710971646,0.906630510659112,4949,818,-1.06342375744147,"5%"
"2012",0.968511715752683,0.837846079735746,0.901308755648719,4949,818,-1.06342375744147,"5%"
"2013",0.967886830539416,0.83560631371965,0.899889454068361,4949,818,-1.06342375744147,"5%"
"2014",0.968030387128984,0.834075577257104,0.89918812575436,4949,818,-1.06342375744147,"5%"
"2015",0.972022306550406,0.83674088647733,0.902537191962806,4949,818,-1.06342375744147,"5%"
"2016",0.974897211252018,0.838053292993674,0.90447267276819,4949,818,-1.06342375744147,"5%"
"2017",0.972171222633843,0.834918717785993,0.901460971834347,4949,818,-1.06342375744147,"5%"
"2018",0.968626925123811,0.831116716215549,0.897693687612135,4949,818,-1.06342375744147,"5%"
"2019",0.970588458552428,0.83297818506493,0.899697718520072,4949,818,-1.06342375744147,"5%"
"2020",0.975086460429125,0.836487820498655,0.903258599046721,4949,818,-1.06342375744147,"5%"
"2021",0.979421499809945,0.838710579391599,0.906677829560917,4949,818,-1.06342375744147,"5%"
"2022",0.978921379526754,0.835506110668741,0.904218939586174,4949,818,-1.06342375744147,"5%"
"1970",1,1,1,4524,728,-0.788124456371957,"10%"
"1971",1.01054657767886,0.998100204531473,1.00432010519888,4524,728,-0.788124456371957,"10%"
"1972",1.01983761332826,0.996626471698441,1.00837777977576,4524,728,-0.788124456371957,"10%"
"1973",1.02488907645193,0.992853333955905,1.0088980496011,4524,728,-0.788124456371957,"10%"
"1974",1.02934348231164,0.99021221360099,1.0097044861578,4524,728,-0.788124456371957,"10%"
"1975",1.03394900311597,0.989845590967461,1.011651742331,4524,728,-0.788124456371957,"10%"
"1976",1.03576538108673,0.987115122656561,1.01129185608059,4524,728,-0.788124456371957,"10%"
"1977",1.03323325550691,0.980597037412904,1.00667343526848,4524,728,-0.788124456371957,"10%"
"1978",1.03113999706796,0.974731690427681,1.00254701043277,4524,728,-0.788124456371957,"10%"
"1979",1.03217160873244,0.972165811717341,1.00168857728143,4524,728,-0.788124456371957,"10%"
"1980",1.03733059149645,0.972412817863381,1.00431424373968,4524,728,-0.788124456371957,"10%"
"1981",1.04188579955262,0.972161166869535,1.00641517581168,4524,728,-0.788124456371957,"10%"
"1982",1.04213473873932,0.969161001947223,1.00498954228217,4524,728,-0.788124456371957,"10%"
"1983",1.04214246466458,0.966470519139227,1.0034630996583,4524,728,-0.788124456371957,"10%"
"1984",1.04401068657752,0.9652346120973,1.0037368950587,4524,728,-0.788124456371957,"10%"
"1985",1.04607944298053,0.964073705564605,1.00420022744524,4524,728,-0.788124456371957,"10%"
"1986",1.04758317323533,0.962627987888666,1.00406880828234,4524,728,-0.788124456371957,"10%"
"1987",1.0465606538543,0.958740030030753,1.00156750789971,4524,728,-0.788124456371957,"10%"
"1988",1.048616876656,0.95817602677688,1.00256810486616,4524,728,-0.788124456371957,"10%"
"1989",1.05033890614884,0.957288757858307,1.00296642387342,4524,728,-0.788124456371957,"10%"
"1990",1.05130125851735,0.955127091374881,1.00259482301726,4524,728,-0.788124456371957,"10%"
"1991",1.04841903217604,0.949637810127159,0.997807699851462,4524,728,-0.788124456371957,"10%"
"1992",1.04457549786199,0.943376953747885,0.99296544955295,4524,728,-0.788124456371957,"10%"
"1993",1.04644881724607,0.942709605041655,0.993783114668422,4524,728,-0.788124456371957,"10%"
"1994",1.05241694225212,0.94485031171605,0.997798293060279,4524,728,-0.788124456371957,"10%"
"1995",1.05333017075543,0.942226089830142,0.996946074249004,4524,728,-0.788124456371957,"10%"
"1996",1.05415938644494,0.941735984454812,0.996632754329154,4524,728,-0.788124456371957,"10%"
"1997",1.0484608893987,0.936199945414138,0.990861628104295,4524,728,-0.788124456371957,"10%"
"1998",1.03176327048375,0.922131430565426,0.975336185086611,4524,728,-0.788124456371957,"10%"
"1999",1.01507277060463,0.905706898161804,0.958506603396869,4524,728,-0.788124456371957,"10%"
"2000",1.00154060224157,0.892457023784294,0.945018875167937,4524,728,-0.788124456371957,"10%"
"2001",0.99244159348401,0.882109349594718,0.935246607616384,4524,728,-0.788124456371957,"10%"
"2002",0.987400552096367,0.876077248972254,0.929364834600292,4524,728,-0.788124456371957,"10%"
"2003",0.984227482138229,0.872154166736443,0.925699799054995,4524,728,-0.788124456371957,"10%"
"2004",0.982828813630653,0.869965651292165,0.923952507466333,4524,728,-0.788124456371957,"10%"
"2005",0.986005229512103,0.872265602965933,0.92687257206866,4524,728,-0.788124456371957,"10%"
"2006",0.98818517404941,0.873651844592237,0.928514637417443,4524,728,-0.788124456371957,"10%"
"2007",0.991246278808637,0.87588517245629,0.931229121353058,4524,728,-0.788124456371957,"10%"
"2008",0.987845241086738,0.871851513559619,0.927610155194305,4524,728,-0.788124456371957,"10%"
"2009",0.981570416535073,0.866152388412844,0.921616659907147,4524,728,-0.788124456371957,"10%"
"2010",0.976181669884742,0.860145973016013,0.915814169562218,4524,728,-0.788124456371957,"10%"
"2011",0.969585768886936,0.853605472285205,0.909233570224399,4524,728,-0.788124456371957,"10%"
"2012",0.963564777352914,0.847574932548339,0.903472294267751,4524,728,-0.788124456371957,"10%"
"2013",0.96268768485584,0.845534880164578,0.901868545243927,4524,728,-0.788124456371957,"10%"
"2014",0.962278253857942,0.844761127603935,0.901176791457864,4524,728,-0.788124456371957,"10%"
"2015",0.966660793091402,0.848389574159299,0.905017709797763,4524,728,-0.788124456371957,"10%"
"2016",0.968516676606245,0.849976567004752,0.906926123076675,4524,728,-0.788124456371957,"10%"
"2017",0.965176214060767,0.847129006450586,0.904103313517036,4524,728,-0.788124456371957,"10%"
"2018",0.960181370748765,0.841992941226052,0.899387178272727,4524,728,-0.788124456371957,"10%"
"2019",0.962505664474823,0.844040717903566,0.901234718805097,4524,728,-0.788124456371957,"10%"
"2020",0.967016146952709,0.847516009094308,0.905091644000284,4524,728,-0.788124456371957,"10%"
"2021",0.971925532758465,0.851350386769193,0.909272051939744,4524,728,-0.788124456371957,"10%"
"2022",0.971378845964003,0.849286197288237,0.907886203726338,4524,728,-0.788124456371957,"10%"
"1970",1,1,1,3895,636,-0.624640463399854,"15%"
"1971",1.01006326073146,0.997312841261928,1.00374781275142,3895,636,-0.624640463399854,"15%"
"1972",1.02059036966888,0.997494408950234,1.00892014252567,3895,636,-0.624640463399854,"15%"
"1973",1.02737368187486,0.995601367331947,1.01111980963857,3895,636,-0.624640463399854,"15%"
"1974",1.03359870137355,0.994440031776925,1.0135883839645,3895,636,-0.624640463399854,"15%"
"1975",1.04081177753165,0.996279784741278,1.01777295997693,3895,636,-0.624640463399854,"15%"
"1976",1.04325757947479,0.99466413311112,1.01825349054857,3895,636,-0.624640463399854,"15%"
"1977",1.0412679697679,0.988312201989645,1.01375446744465,3895,636,-0.624640463399854,"15%"
"1978",1.03723477346105,0.980627667168711,1.00781670210741,3895,636,-0.624640463399854,"15%"
"1979",1.03553286428529,0.975079878610344,1.0041194455229,3895,636,-0.624640463399854,"15%"
"1980",1.03678803815905,0.972249509987711,1.00336582217243,3895,636,-0.624640463399854,"15%"
"1981",1.03831880344145,0.969608140486472,1.00297788733312,3895,636,-0.624640463399854,"15%"
"1982",1.03560284111785,0.964884013834874,0.999200505659736,3895,636,-0.624640463399854,"15%"
"1983",1.03437128882203,0.96077182649143,0.996278738974824,3895,636,-0.624640463399854,"15%"
"1984",1.03530899620172,0.958325467450652,0.995483709216284,3895,636,-0.624640463399854,"15%"
"1985",1.03561967872826,0.956461731504799,0.994814357972459,3895,636,-0.624640463399854,"15%"
"1986",1.03549516403524,0.954135497426286,0.99381938746855,3895,636,-0.624640463399854,"15%"
"1987",1.03385992864728,0.950845266566099,0.99145636757477,3895,636,-0.624640463399854,"15%"
"1988",1.03738511649653,0.952316511541509,0.993914092345899,3895,636,-0.624640463399854,"15%"
"1989",1.04030401239338,0.952588971055898,0.99579829325403,3895,636,-0.624640463399854,"15%"
"1990",1.0427114719625,0.952615452643621,0.997298697343921,3895,636,-0.624640463399854,"15%"
"1991",1.04278776453399,0.950175485054588,0.995895996640205,3895,636,-0.624640463399854,"15%"
"1992",1.03849074220196,0.944517328217707,0.991205060472005,3895,636,-0.624640463399854,"15%"
"1993",1.03880698195328,0.944183716276797,0.990996989387462,3895,636,-0.624640463399854,"15%"
"1994",1.04229572973412,0.94512485662903,0.993024324179297,3895,636,-0.624640463399854,"15%"
"1995",1.04220612682818,0.940190915741268,0.99049740137726,3895,636,-0.624640463399854,"15%"
"1996",1.04070668926518,0.937543711864934,0.988318693682544,3895,636,-0.624640463399854,"15%"
"1997",1.03193461072333,0.930329768607393,0.980247543135989,3895,636,-0.624640463399854,"15%"
"1998",1.01727741705891,0.917115660770961,0.966261068344566,3895,636,-0.624640463399854,"15%"
"1999",1.00335389295081,0.903199572517794,0.952163412609877,3895,636,-0.624640463399854,"15%"
"2000",0.990184026435119,0.89076986546086,0.93920165881211,3895,636,-0.624640463399854,"15%"
"2001",0.981598771027756,0.882440745733171,0.930799781385535,3895,636,-0.624640463399854,"15%"
"2002",0.976856172517507,0.876173954956999,0.925636416254846,3895,636,-0.624640463399854,"15%"
"2003",0.975123225967641,0.873501361824276,0.923363653605483,3895,636,-0.624640463399854,"15%"
"2004",0.9744911917457,0.873087502193903,0.923109365349155,3895,636,-0.624640463399854,"15%"
"2005",0.977576812542268,0.876454988396073,0.926178621824556,3895,636,-0.624640463399854,"15%"
"2006",0.9772241656966,0.87733187805719,0.926772012096041,3895,636,-0.624640463399854,"15%"
"2007",0.978035651669871,0.878687490364158,0.927755813102891,3895,636,-0.624640463399854,"15%"
"2008",0.97276894697518,0.874034881228886,0.922738997293633,3895,636,-0.624640463399854,"15%"
"2009",0.965374265145432,0.867649405335581,0.91594449946812,3895,636,-0.624640463399854,"15%"
"2010",0.960768903991824,0.862913738553532,0.911379453825549,3895,636,-0.624640463399854,"15%"
"2011",0.958589683286113,0.85948421009854,0.908416157852411,3895,636,-0.624640463399854,"15%"
"2012",0.956520623434755,0.856363565212293,0.905667954410869,3895,636,-0.624640463399854,"15%"
"2013",0.956694253506563,0.855146612690164,0.905380696006515,3895,636,-0.624640463399854,"15%"
"2014",0.95826362946153,0.856332418041059,0.906963433742132,3895,636,-0.624640463399854,"15%"
