Binomial	ID	year	popvalue
Aix_sponsa	4411_1	1970	0.0333
Aix_sponsa	4411_2	1970	0.0333
Ammospiza_nelsoni	4245_1	1970	0.103
Anas_acuta	4257_1	1970	4320934
Anas_crecca	4183_1	1970	0.484
Anas_crecca	4183_2	1970	0.484
Anas_platyrhynchos	4233_1	1970	6.38
Anas_rubripes	4425_1	1970	0.439
Anas_rubripes	4425_2	1970	0.439
Antigone_canadensis	4326_1	1970	0.164
Ardea_alba	4176_1	1970	0.0285
Ardea_herodias	4172_1	1970	0.447
Ardea_herodias	4172_2	1970	0.447
Ardea_herodias	4172_3	1970	0.447
Aythya_affinis	4218_1	1970	3.91
Aythya_affinis	4218_2	1970	3.91
Aythya_americana	4301_1	1970	413110
Aythya_americana	4301_2	1970	413110
Aythya_americana	4301_3	1970	413110
Aythya_collaris	4312_1	1970	4.402198
Aythya_collaris	4312_2	1970	4.402198
Aythya_collaris	4312_3	1970	4.402198
Aythya_marila	4179_1	1970	62.33283
Aythya_marila	4179_2	1970	62.33283
Aythya_valisineria	4477_1	1970	505645
Aythya_valisineria	4477_2	1970	505645
Aythya_valisineria	4477_3	1970	505645
Bucephala_albeola	4467_1	1970	596804
Bucephala_clangula	4118_1	1970	29.298761
Bucephala_islandica	4342_1	1970	17.013067
Butorides_virescens	4182_1	1970	0.0794
Butorides_virescens	4182_2	1970	0.0794
Butorides_virescens	4182_3	1970	0.0794
Chlidonias_niger	4426_1	1970	10.7
Cinclus_mexicanus	4458_1	1970	0.0196
Cistothorus_palustris	4236_1	1970	0.151
Cistothorus_palustris	4236_2	1970	0.151
Cygnus_buccinator	4366_1	1970	0.0149
Cygnus_buccinator	4366_2	1970	0.0149
Fulica_americana	4436_1	1970	861834
Gallinago_delicata	4407_1	1970	4.32
Gallinula_galeata	4117_1	1970	0.112
Gavia_immer	4121_1	1970	1.04
Grus_americana	4401_1	1970	0.19653034
Haliaeetus_leucocephalus	4264_1	1970	0.0241
Haliaeetus_leucocephalus	4264_2	1970	0.0241
Histrionicus_histrionicus	4188_1	1970	1.2372996
Ixobrychus_exilis	4213_1	1970	0.00475
Lophodytes_cucullatus	4194_1	1970	12.346252
Mareca_americana	4186_1	1970	2942712
Mareca_strepera	4158_1	1970	966268
Melanitta_americana	4419_1	1970	29.35658
Melanitta_deglandi	4400_1	1970	10.650708
Melanitta_deglandi	4400_2	1970	10.650708
Mergus_merganser	4122_1	1970	8.8835945
Mergus_serrator	4296_1	1970	46.778767
Nycticorax_nycticorax	4437_1	1970	0.204
Plegadis_chihi	4394_1	1970	0.000196
Podiceps_auritus	4195_1	1970	30.517647
Podiceps_auritus	4195_2	1970	30.517647
Podiceps_auritus	4195_3	1970	30.517647
Podiceps_nigricollis	4139_1	1970	0.461
Podiceps_nigricollis	4139_2	1970	0.461
Podilymbus_podiceps	4279_1	1970	0.341
Porzana_carolina	4346_1	1970	1.17
Porzana_carolina	4346_2	1970	1.17
Spatula_clypeata	4261_1	1970	1365217
Spatula_clypeata	4261_2	1970	1365217
Spatula_cyanoptera	4112_1	1970	0.0303
Sterna_forsteri	4155_1	1970	0.0732
Tringa_melanoleuca	4181_1	1970	1.08
Aix_sponsa	4411_1	1971	0.0349
Aix_sponsa	4411_2	1971	0.0349
Ammospiza_nelsoni	4245_1	1971	0.11
Anas_acuta	4257_1	1971	4351491
Anas_crecca	4183_1	1971	0.48
Anas_crecca	4183_2	1971	0.48
Anas_platyrhynchos	4233_1	1971	6.48
Anas_rubripes	4425_1	1971	0.426
Anas_rubripes	4425_2	1971	0.426
Antigone_canadensis	4326_1	1971	0.165
Ardea_alba	4176_1	1971	0.0281
Ardea_herodias	4172_1	1971	0.461
Ardea_herodias	4172_2	1971	0.461
Ardea_herodias	4172_3	1971	0.461
Aythya_affinis	4218_1	1971	4.03
Aythya_affinis	4218_2	1971	4.03
Aythya_americana	4301_1	1971	346496
Aythya_americana	4301_2	1971	346496
Aythya_americana	4301_3	1971	346496
Aythya_collaris	4312_1	1971	4.126679
Aythya_collaris	4312_2	1971	4.126679
Aythya_collaris	4312_3	1971	4.126679
Aythya_marila	4179_1	1971	59.47491
Aythya_marila	4179_2	1971	59.47491
Aythya_valisineria	4477_1	1971	383381
Aythya_valisineria	4477_2	1971	383381
Aythya_valisineria	4477_3	1971	383381
Bucephala_albeola	4467_1	1971	704277
Bucephala_clangula	4118_1	1971	28.99134
Bucephala_islandica	4342_1	1971	16.543407
Butorides_virescens	4182_1	1971	0.0889
Butorides_virescens	4182_2	1971	0.0889
Butorides_virescens	4182_3	1971	0.0889
Chlidonias_niger	4426_1	1971	9.32
Cinclus_mexicanus	4458_1	1971	0.0197
Cistothorus_palustris	4236_1	1971	0.159
Cistothorus_palustris	4236_2	1971	0.159
Cygnus_buccinator	4366_1	1971	0.0141
Cygnus_buccinator	4366_2	1971	0.0141
Fulica_americana	4436_1	1971	767032
Gallinago_delicata	4407_1	1971	4.74
Gallinula_galeata	4117_1	1971	0.116
Gavia_immer	4121_1	1971	1.07
Grus_americana	4401_1	1971	0.19861446
Haliaeetus_leucocephalus	4264_1	1971	0.0254
Haliaeetus_leucocephalus	4264_2	1971	0.0254
Histrionicus_histrionicus	4188_1	1971	1.2314507
Ixobrychus_exilis	4213_1	1971	0.00489
Lophodytes_cucullatus	4194_1	1971	12.037021
Mareca_americana	4186_1	1971	2849744
Mareca_strepera	4158_1	1971	1020157
Melanitta_americana	4419_1	1971	27.378231
Melanitta_deglandi	4400_1	1971	10.110082
Melanitta_deglandi	4400_2	1971	10.110082
Mergus_merganser	4122_1	1971	9.3404455
Mergus_serrator	4296_1	1971	48.220184
Nycticorax_nycticorax	4437_1	1971	0.199
Plegadis_chihi	4394_1	1971	0.000186
Podiceps_auritus	4195_1	1971	29.979311
Podiceps_auritus	4195_2	1971	29.979311
Podiceps_auritus	4195_3	1971	29.979311
Podiceps_nigricollis	4139_1	1971	0.473
Podiceps_nigricollis	4139_2	1971	0.473
Podilymbus_podiceps	4279_1	1971	0.344
Porzana_carolina	4346_1	1971	1.13
Porzana_carolina	4346_2	1971	1.13
Spatula_clypeata	4261_1	1971	1586170
Spatula_clypeata	4261_2	1971	1586170
Spatula_cyanoptera	4112_1	1971	0.0337
Sterna_forsteri	4155_1	1971	0.0749
Tringa_melanoleuca	4181_1	1971	1.06
Aix_sponsa	4411_1	1972	0.0362
Aix_sponsa	4411_2	1972	0.0362
Ammospiza_nelsoni	4245_1	1972	0.0985
Anas_acuta	4257_1	1972	4712387
Anas_crecca	4183_1	1972	0.483
Anas_crecca	4183_2	1972	0.483
Anas_platyrhynchos	4233_1	1972	6.45
Anas_rubripes	4425_1	1972	0.396
Anas_rubripes	4425_2	1972	0.396
Antigone_canadensis	4326_1	1972	0.162
Ardea_alba	4176_1	1972	0.0285
Ardea_herodias	4172_1	1972	0.449
Ardea_herodias	4172_2	1972	0.449
Ardea_herodias	4172_3	1972	0.449
Aythya_affinis	4218_1	1972	4.12
Aythya_affinis	4218_2	1972	4.12
Aythya_americana	4301_1	1972	375344
Aythya_americana	4301_2	1972	375344
Aythya_americana	4301_3	1972	375344
Aythya_collaris	4312_1	1972	4.105483
Aythya_collaris	4312_2	1972	4.105483
Aythya_collaris	4312_3	1972	4.105483
Aythya_marila	4179_1	1972	58.00629
Aythya_marila	4179_2	1972	58.00629
Aythya_valisineria	4477_1	1972	292737
Aythya_valisineria	4477_2	1972	292737
Aythya_valisineria	4477_3	1972	292737
Bucephala_albeola	4467_1	1972	710060
Bucephala_clangula	4118_1	1972	28.377829
Bucephala_islandica	4342_1	1972	16.570766
Butorides_virescens	4182_1	1972	0.0902
Butorides_virescens	4182_2	1972	0.0902
Butorides_virescens	4182_3	1972	0.0902
Chlidonias_niger	4426_1	1972	8.08
Cinclus_mexicanus	4458_1	1972	0.0201
Cistothorus_palustris	4236_1	1972	0.162
Cistothorus_palustris	4236_2	1972	0.162
Cygnus_buccinator	4366_1	1972	0.0134
Cygnus_buccinator	4366_2	1972	0.0134
Fulica_americana	4436_1	1972	625987
Gallinago_delicata	4407_1	1972	5.12
Gallinula_galeata	4117_1	1972	0.112
Gavia_immer	4121_1	1972	1.08
Grus_americana	4401_1	1972	0.20778845
Haliaeetus_leucocephalus	4264_1	1972	0.0268
Haliaeetus_leucocephalus	4264_2	1972	0.0268
Histrionicus_histrionicus	4188_1	1972	1.2331861
Ixobrychus_exilis	4213_1	1972	0.00488
Lophodytes_cucullatus	4194_1	1972	10.708212
Mareca_americana	4186_1	1972	2655017
Mareca_strepera	4158_1	1972	1061649
Melanitta_americana	4419_1	1972	26.69273
Melanitta_deglandi	4400_1	1972	9.882608
Melanitta_deglandi	4400_2	1972	9.882608
Mergus_merganser	4122_1	1972	8.802865
Mergus_serrator	4296_1	1972	47.982502
Nycticorax_nycticorax	4437_1	1972	0.209
Plegadis_chihi	4394_1	1972	0.000183
Podiceps_auritus	4195_1	1972	30.780483
Podiceps_auritus	4195_2	1972	30.780483
Podiceps_auritus	4195_3	1972	30.780483
Podiceps_nigricollis	4139_1	1972	0.489
Podiceps_nigricollis	4139_2	1972	0.489
Podilymbus_podiceps	4279_1	1972	0.35
Porzana_carolina	4346_1	1972	1.17
Porzana_carolina	4346_2	1972	1.17
Spatula_clypeata	4261_1	1972	1718194
Spatula_clypeata	4261_2	1972	1718194
Spatula_cyanoptera	4112_1	1972	0.0372
Sterna_forsteri	4155_1	1972	0.0752
Tringa_melanoleuca	4181_1	1972	1.06
Aix_sponsa	4411_1	1973	0.0379
Aix_sponsa	4411_2	1973	0.0379
Ammospiza_nelsoni	4245_1	1973	0.187
Anas_acuta	4257_1	1973	2547618
Anas_crecca	4183_1	1973	0.487
Anas_crecca	4183_2	1973	0.487
Anas_platyrhynchos	4233_1	1973	6.44
Anas_rubripes	4425_1	1973	0.366
Anas_rubripes	4425_2	1973	0.366
Antigone_canadensis	4326_1	1973	0.23
Ardea_alba	4176_1	1973	0.0303
Ardea_herodias	4172_1	1973	0.459
Ardea_herodias	4172_2	1973	0.459
Ardea_herodias	4172_3	1973	0.459
Aythya_affinis	4218_1	1973	4.08
Aythya_affinis	4218_2	1973	4.08
Aythya_americana	4301_1	1973	369167
Aythya_americana	4301_2	1973	369167
Aythya_americana	4301_3	1973	369167
Aythya_collaris	4312_1	1973	3.9263518
Aythya_collaris	4312_2	1973	3.9263518
Aythya_collaris	4312_3	1973	3.9263518
Aythya_marila	4179_1	1973	55.549274
Aythya_marila	4179_2	1973	55.549274
Aythya_valisineria	4477_1	1973	444128
Aythya_valisineria	4477_2	1973	444128
Aythya_valisineria	4477_3	1973	444128
Bucephala_albeola	4467_1	1973	499691
Bucephala_clangula	4118_1	1973	27.848413
Bucephala_islandica	4342_1	1973	16.19809
Butorides_virescens	4182_1	1973	0.102
Butorides_virescens	4182_2	1973	0.102
Butorides_virescens	4182_3	1973	0.102
Chlidonias_niger	4426_1	1973	7.18
Cinclus_mexicanus	4458_1	1973	0.0202
Cistothorus_palustris	4236_1	1973	0.163
Cistothorus_palustris	4236_2	1973	0.163
Cygnus_buccinator	4366_1	1973	0.0123
Cygnus_buccinator	4366_2	1973	0.0123
