ID,min_year,max_year
4112_1,1970,2022
4117_1,1970,2022
4118_1,1970,2021
4121_1,1970,2022
4122_1,1970,2021
4139_1,1970,2022
4139_2,1970,2022
4155_1,1970,2022
4158_1,1970,2022
4172_1,1970,2022
4172_2,1970,2022
4172_3,1970,2022
4176_1,1970,2022
4179_1,1970,2021
4179_2,1970,2021
4181_1,1970,2022
4182_1,1970,2022
4182_2,1970,2022
4182_3,1970,2022
4183_1,1970,2022
4183_2,1970,2022
4186_1,1970,2022
4188_1,1970,2021
4194_1,1970,2021
4195_1,1970,2021
4195_2,1970,2021
4195_3,1970,2021
4213_1,1970,2022
4218_1,1970,2022
4218_2,1970,2022
4227_1,1980,2019
4227_2,1980,2019
4233_1,1970,2022
4236_1,1970,2022
4236_2,1970,2022
4245_1,1970,2022
4257_1,1970,2022
4261_1,1970,2022
4261_2,1970,2022
4264_1,1970,2022
4264_2,1970,2022
4279_1,1970,2022
4296_1,1970,2021
4301_1,1970,2022
4301_2,1970,2022
4301_3,1970,2022
4312_1,1970,2021
4312_2,1970,2021
4312_3,1970,2021
4326_1,1970,2022
4342_1,1970,2021
4346_1,1970,2022
4346_2,1970,2022
4366_1,1970,2022
4366_2,1970,2022
4394_1,1970,2022
4400_1,1970,2021
4400_2,1970,2021
4401_1,1970,2021
4407_1,1970,2022
4411_1,1970,2022
4411_2,1970,2022
4419_1,1970,2021
4425_1,1970,2022
4425_2,1970,2022
4426_1,1970,2022
4436_1,1970,2022
4437_1,1970,2022
4458_1,1970,2022
4467_1,1970,2022
4477_1,1970,2022
4477_2,1970,2022
4477_3,1970,2022
