Binomial	ID	year	popvalue
Alosa_pseudoharengus	1_1	1970	68
Alosa_pseudoharengus	1_2	1970	68
Anguilla_rostrata	600_3	1970	0.31
Coregonus_artedi	199_1	1970	15.07
Coregonus_artedi	200_2	1970	0.608
Oncorhynchus_gorbuscha	75_1	1970	1530913
Oncorhynchus_gorbuscha	75_2	1970	1530913
Oncorhynchus_gorbuscha	233_3	1970	432651
Oncorhynchus_gorbuscha	233_4	1970	432651
Oncorhynchus_gorbuscha	2222_7	1970	1024322
Oncorhynchus_gorbuscha	2222_8	1970	1024322
Oncorhynchus_gorbuscha	2223_9	1970	1713977
Oncorhynchus_gorbuscha	2223_10	1970	1713977
Oncorhynchus_keta	76_2	1970	287250
Oncorhynchus_keta	234_5	1970	355
Oncorhynchus_keta	235_6	1970	347
Oncorhynchus_keta	2229_9	1970	19308
Oncorhynchus_keta	2230_10	1970	286
Oncorhynchus_kisutch	74_6	1970	66050
Oncorhynchus_kisutch	2232_8	1970	230824
Oncorhynchus_kisutch	2233_9	1970	70718
Oncorhynchus_kisutch	2234_10	1970	17947
Oncorhynchus_kisutch	2235_11	1970	10104
Oncorhynchus_tshawytscha	224_4	1970	100
Oncorhynchus_tshawytscha	226_6	1970	670
Oncorhynchus_tshawytscha	227_7	1970	615
Oncorhynchus_tshawytscha	231_11	1970	625
Oncorhynchus_tshawytscha	3050_22	1970	28455
Oncorhynchus_tshawytscha	3078_23	1970	3233
Oncorhynchus_tshawytscha	3080_25	1970	4284
Osmerus_mordax	193_1	1970	111
Salmo_salar	19_1	1970	66.26
Salmo_salar	19_2	1970	66.26
Salmo_salar	238_5	1970	901
Salmo_salar	238_6	1970	901
Salmo_salar	239_7	1970	1647
Salmo_salar	239_8	1970	1647
Alosa_pseudoharengus	1_1	1971	326
Alosa_pseudoharengus	1_2	1971	326
Anguilla_rostrata	598_1	1971	87.27
Anguilla_rostrata	600_3	1971	1.91
Coregonus_artedi	199_1	1971	4.181
Coregonus_artedi	200_2	1971	0.456
Oncorhynchus_gorbuscha	75_1	1971	1804952
Oncorhynchus_gorbuscha	75_2	1971	1804952
Oncorhynchus_gorbuscha	233_3	1971	6052
Oncorhynchus_gorbuscha	233_4	1971	6052
Oncorhynchus_gorbuscha	2224_11	1971	568223
Oncorhynchus_gorbuscha	2224_12	1971	568223
Oncorhynchus_gorbuscha	2225_13	1971	896404
Oncorhynchus_gorbuscha	2225_14	1971	896404
Oncorhynchus_gorbuscha	2226_15	1971	147723
Oncorhynchus_gorbuscha	2226_16	1971	147723
Oncorhynchus_keta	76_2	1971	290150
Oncorhynchus_keta	219_3	1971	312800
Oncorhynchus_keta	234_5	1971	344
Oncorhynchus_keta	235_6	1971	318
Oncorhynchus_keta	2229_9	1971	7038
Oncorhynchus_keta	2230_10	1971	286
Oncorhynchus_kisutch	5_1	1971	81
Oncorhynchus_kisutch	74_6	1971	108406
Oncorhynchus_kisutch	2232_8	1971	187965
Oncorhynchus_kisutch	2233_9	1971	92399
Oncorhynchus_kisutch	2234_10	1971	6140
Oncorhynchus_tshawytscha	224_4	1971	130
Oncorhynchus_tshawytscha	225_5	1971	275
Oncorhynchus_tshawytscha	226_6	1971	275
Oncorhynchus_tshawytscha	227_7	1971	650
Oncorhynchus_tshawytscha	229_9	1971	750
Oncorhynchus_tshawytscha	231_11	1971	856
Oncorhynchus_tshawytscha	3050_22	1971	34722
Oncorhynchus_tshawytscha	3078_23	1971	2579
Oncorhynchus_tshawytscha	3080_25	1971	2232
Osmerus_mordax	193_1	1971	124
Salmo_salar	19_1	1971	122.05
Salmo_salar	19_2	1971	122.05
Salmo_salar	238_5	1971	351
Salmo_salar	238_6	1971	351
Salmo_salar	239_7	1971	1352
Salmo_salar	239_8	1971	1352
Salmo_salar	240_9	1971	1716
Salmo_salar	240_10	1971	1716
Alosa_pseudoharengus	1_1	1972	987
Alosa_pseudoharengus	1_2	1972	987
Anguilla_rostrata	598_1	1972	198.41
Anguilla_rostrata	600_3	1972	1.46
Anguilla_rostrata	601_4	1972	12.79
Coregonus_artedi	199_1	1972	2.723
Coregonus_artedi	200_2	1972	0.589
Oncorhynchus_gorbuscha	233_3	1972	329901
Oncorhynchus_gorbuscha	233_4	1972	329901
Oncorhynchus_gorbuscha	2222_7	1972	556605
Oncorhynchus_gorbuscha	2222_8	1972	556605
Oncorhynchus_gorbuscha	2223_9	1972	2923177
Oncorhynchus_gorbuscha	2223_10	1972	2923177
Oncorhynchus_keta	76_2	1972	423290
Oncorhynchus_keta	219_3	1972	35125
Oncorhynchus_keta	234_5	1972	338
Oncorhynchus_keta	235_6	1972	879
Oncorhynchus_keta	2229_9	1972	55159
Oncorhynchus_keta	2230_10	1972	2531
Oncorhynchus_keta	2231_11	1972	1090
Oncorhynchus_kisutch	5_1	1972	75
Oncorhynchus_kisutch	74_6	1972	39546
Oncorhynchus_kisutch	2232_8	1972	122201
Oncorhynchus_kisutch	2233_9	1972	109050
Oncorhynchus_kisutch	2234_10	1972	8029
Oncorhynchus_kisutch	2235_11	1972	510
Oncorhynchus_tshawytscha	224_4	1972	80
Oncorhynchus_tshawytscha	225_5	1972	126
Oncorhynchus_tshawytscha	226_6	1972	415
Oncorhynchus_tshawytscha	227_7	1972	237
Oncorhynchus_tshawytscha	229_9	1972	13
Oncorhynchus_tshawytscha	231_11	1972	391
Oncorhynchus_tshawytscha	3050_22	1972	30500
Oncorhynchus_tshawytscha	3078_23	1972	1491
Oncorhynchus_tshawytscha	3080_25	1972	967
Salmo_salar	19_1	1972	82.47
Salmo_salar	19_2	1972	82.47
Salmo_salar	238_5	1972	373
Salmo_salar	238_6	1972	373
Salmo_salar	239_7	1972	547
Salmo_salar	239_8	1972	547
Salmo_salar	240_9	1972	757
Salmo_salar	240_10	1972	757
Alosa_pseudoharengus	1_1	1973	1150
Alosa_pseudoharengus	1_2	1973	1150
Anguilla_rostrata	598_1	1973	97.5
Anguilla_rostrata	600_3	1973	1.25
Anguilla_rostrata	601_4	1973	8.53
Coregonus_artedi	199_1	1973	2.302
Coregonus_artedi	200_2	1973	0.795
Coregonus_artedi	205_3	1973	26
