ID,min_year,max_year
1_1,1970,1988
1_2,1970,1988
1215_4,2002,2006
1217_1,2003,2006
136_1,1995,1998
137_2,1995,1999
138_3,1995,1999
164_1,1998,2004
164_2,1998,2004
174_2,1998,1999
19_1,1970,1991
19_2,1970,1991
191_1,1975,1976
191_2,1975,1976
193_1,1970,1971
196_1,1993,1997
197_1,1993,1997
197_2,1993,1997
199_1,1970,1979
2_1,1975,1988
200_2,1970,1979
202_2,1973,1981
205_3,1973,1981
219_3,1971,2008
222_4,1984,2006
2222_7,1970,2014
2222_8,1970,2014
2223_10,1970,2014
2223_9,1970,2014
2224_11,1971,2013
2224_12,1971,2013
2225_13,1971,2013
2225_14,1971,2013
2226_15,1971,2013
2226_16,1971,2013
2229_9,1970,2014
223_3,1983,2001
2230_10,1970,2014
2231_11,1972,2013
2232_8,1970,2014
2233_9,1970,2014
2234_10,1970,2014
2235_11,1970,2014
224_4,1970,2000
225_5,1971,2008
226_6,1970,2008
2260_15,1985,2001
2261_16,1985,2011
2262_17,1985,2012
2263_18,1985,2013
2264_19,1985,2014
2265_20,1985,2014
2266_21,1985,2006
227_7,1970,2010
228_8,1981,2005
229_9,1971,2008
230_10,1997,2008
231_11,1970,2008
233_3,1970,1982
233_4,1970,1982
234_5,1970,1977
235_6,1970,1977
237_3,1984,1992
237_4,1984,1992
238_5,1970,1989
238_6,1970,1989
239_7,1970,1981
239_8,1970,1981
240_10,1971,1981
240_9,1971,1981
241_11,1980,1992
241_12,1980,1992
252_1,1989,2004
2605_19,2015,2016
2605_20,2015,2016
2606_21,2015,2016
2606_22,2015,2016
2607_23,2015,2016
2607_24,2015,2016
2608_25,2015,2016
2608_26,2015,2016
2609_27,2015,2016
2609_28,2015,2016
2610_29,2015,2016
2610_30,2015,2016
2611_31,2015,2016
2611_32,2015,2016
2612_33,2015,2016
2612_34,2015,2016
2613_35,2015,2016
2613_36,2015,2016
2614_37,2015,2016
2614_38,2015,2016
2615_39,2015,2016
2615_40,2015,2016
265_1,1994,2000
266_2,1994,2000
3_1,1980,1987
3019_12,1998,2016
3020_13,1977,2016
3050_22,1970,2015
3078_23,1970,2014
3079_24,1987,2015
3080_25,1970,2014
3081_26,2005,2008
3106_41,2015,2016
3106_42,2015,2016
3107_5,2015,2016
3129_27,2005,2022
3135_28,2005,2014
3141_12,2005,2008
3143_6,2006,2022
3144_23,2006,2017
3144_24,2006,2017
3145_37,2006,2022
3145_38,2006,2022
3155_13,2005,2014
3161_14,2005,2014
3162_6,2005,2016
3163_7,2005,2016
3164_8,2005,2016
3165_9,2005,2016
3166_15,2005,2014
3167_43,1994,2017
3167_44,1994,2017
3169_16,2005,2014
3170_17,2005,2013
3174_17,2005,2014
3174_18,2005,2014
3175_14,2005,2013
3176_15,2005,2014
3177_16,2005,2014
3179_17,2005,2014
3180_18,2005,2014
3181_19,2005,2014
3182_20,2005,2014
3187_29,1995,2018
3188_30,1995,2018
3189_31,1995,2018
3190_32,1995,2018
3191_33,1995,2018
3298_19,2005,2014
3298_20,2005,2014
3299_21,2005,2014
3299_22,2005,2014
3303_23,2005,2014
3303_24,2005,2014
3315_25,2005,2014
3315_26,2005,2014
3319_7,1997,2019
3320_8,1999,2016
3323_9,1996,2018
3334_10,1975,2017
3345_11,1996,2013
3353_25,2013,2022
3353_26,2013,2022
3354_1,1992,2022
3355_1,1992,2022
3355_2,1992,2022
3356_12,1992,2021
3358_1,1992,2022
3358_2,1992,2022
3360_5,1992,2021
3361_5,1992,2021
3362_1,1992,2022
3364_1,1992,2020
3364_2,1992,2020
3367_13,1996,2019
3369_2,2013,2022
3373_3,1995,2022
3373_4,1995,2022
3375_1,1992,2022
3375_2,1992,2022
3377_1,2015,2015
3377_2,2015,2015
3380_2,2013,2016
3383_34,2014,2014
3384_8,2013,2022
3386_1,1992,2022
3386_2,1992,2022
3387_5,1992,2022
3387_6,1992,2022
3388_3,2013,2013
3388_4,2013,2013
3390_1,1992,2021
3390_2,1992,2021
3393_2,2007,2017
3394_3,2007,2017
3394_4,2007,2017
