Binomial	ID	year	popvalue
Chelydra_serpentina	479_3	1972	0.174
Emydoidea_blandingii	480_3	1972	0.054
Emydoidea_blandingii	480_4	1972	0.054
Graptemys_geographica	481_2	1972	0.002
Sternotherus_odoratus	355_2	1972	0.004
Chelydra_serpentina	4090_7	1975	88
Anaxyrus_hemiophrys	192_1	1976	207
Chelydra_serpentina	4090_7	1976	87
Anaxyrus_hemiophrys	192_1	1977	130
Chelydra_serpentina	4090_7	1977	86
Chelydra_serpentina	4090_7	1978	89
Hyla_versicolor	32_1	1978	35
Chelydra_serpentina	4090_7	1979	83
Chelydra_serpentina	725_4	1980	57
Chelydra_serpentina	4090_7	1980	85
Chelydra_serpentina	725_4	1981	62
Chelydra_serpentina	4090_7	1981	90
Chelydra_serpentina	725_4	1982	69
Chelydra_serpentina	4090_7	1982	91
Chelydra_serpentina	172_1	1983	21
Chelydra_serpentina	725_4	1983	69
Chelydra_serpentina	4090_7	1983	89
Clemmys_guttata	210_1	1983	58
Clemmys_guttata	210_2	1983	58
Clemmys_guttata	210_3	1983	58
Chelydra_serpentina	172_1	1984	18
Chelydra_serpentina	725_4	1984	66
Chelydra_serpentina	775_6	1984	941
Chelydra_serpentina	4090_7	1984	91
Ambystoma_maculatum	30_2	1985	232
Ambystoma_maculatum	31_3	1985	406
Chelydra_serpentina	172_1	1985	7
Chelydra_serpentina	725_4	1985	67
Chelydra_serpentina	775_6	1985	837
Chelydra_serpentina	4090_7	1985	98
Graptemys_geographica	101_1	1985	7
Lithobates_catesbeianus	247_2	1985	63.33333
Lithobates_catesbeianus	248_3	1985	20
Ambystoma_maculatum	29_1	1986	15
Ambystoma_maculatum	30_2	1986	297
Ambystoma_maculatum	31_3	1986	336
Chelydra_serpentina	172_1	1986	7
Chelydra_serpentina	725_4	1986	65
Chelydra_serpentina	4090_7	1986	86
Graptemys_geographica	101_1	1986	50
Lithobates_catesbeianus	247_2	1986	59.66667
Lithobates_catesbeianus	248_3	1986	21
Ambystoma_maculatum	29_1	1987	12
