ID,min_year,max_year
101_1,1985,1994
148_1,2000,2006
149_1,2000,2006
149_2,2000,2006
149_3,2000,2006
155_2,1997,2006
171_1,1995,2002
172_1,1983,1989
173_2,1987,1989
175_1,1987,2017
175_2,1987,2017
177_2,1989,1990
192_1,1976,1977
198_1,1990,1991
210_1,1983,2001
210_2,1983,2001
210_3,1983,2001
247_2,1985,1993
248_3,1985,1993
280_1,1995,1996
282_1,1995,2002
282_2,1995,2002
283_4,1995,2006
284_5,1995,2004
285_6,1995,2005
289_1,1995,2006
289_2,1995,2006
29_1,1986,1991
290_3,1995,2004
290_4,1995,2004
291_5,1995,2005
291_6,1995,2005
292_3,1995,2006
293_4,1995,2004
294_5,1995,2005
30_2,1985,1991
3027_10,2001,2016
3027_9,2001,2016
3028_11,2000,2003
3028_12,2000,2003
3029_13,2001,2016
3029_14,2001,2016
3030_15,2002,2016
3030_16,2002,2016
3031_17,2002,2017
3031_18,2002,2017
3032_19,2002,2016
3032_20,2002,2016
3033_21,2002,2016
3033_22,2002,2016
3034_23,2016,2017
3034_24,2016,2017
3035_25,2000,2017
3035_26,2000,2017
3036_27,2000,2016
3036_28,2000,2016
3037_29,2003,2012
3037_30,2003,2012
3038_31,2000,2017
3038_32,2000,2017
3039_7,2005,2013
3040_8,2005,2017
3041_9,2004,2005
3042_10,2005,2013
3043_11,2006,2013
3044_12,2005,2013
31_3,1985,1991
3136_2,2008,2017
319_1,1998,2000
319_2,1998,2000
32_1,1978,1993
323_1,2003,2004
323_2,2003,2004
324_1,2003,2004
326_1,2003,2004
328_5,1998,2002
328_6,1998,2002
331_1,1997,1999
336_1,1997,1999
337_3,1997,1999
337_4,1997,1999
351_1,1991,1994
355_2,1972,2002
3825_33,2002,2018
3825_34,2002,2018
3827_13,2002,2018
392_1,2002,2003
392_2,2002,2003
4090_7,1975,2010
479_3,1972,2002
480_3,1972,2002
480_4,1972,2002
481_2,1972,2002
534_3,2005,2006
536_4,1998,2001
536_5,1998,2001
536_6,1998,2001
725_4,1980,2013
765_5,2013,2017
775_6,1984,2002
91_1,1997,2000
