"","Binomial","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Ambystoma_gracile","Ambystoma_gracile",13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.499597502682035,0.499597502682035,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0638892075323967,0.0636189686613582,0.0629875533533548,0.0619275232056853,0.060448634568544,0.0586907964442176,0.0569444478173629,0.0555819725069853,0.0548820744774647,NA
"Ambystoma_macrodactylum","Ambystoma_macrodactylum",33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0129170809804027,-0.0129170809804027,-0.01638940073311,-0.0198617204858169,-0.0198617204858171,-0.0198617204858171,-0.0198617204858171,-0.0198617204858174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambystoma_maculatum","Ambystoma_maculatum",20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0409763851228249,0.0143882800818993,0.0143882800818992,0.0143882800818992,0.0143882800818993,0.0143882800818994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaxyrus_americanus","Anaxyrus_americanus",242,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0334734236377794,-0.0223134848606252,-0.00864600127516938,-0.00256152442578942,-0.00512062399179262,-0.00428854601777442,-0.0026077032868812,-0.00776046148420304,-0.00105792298121941,0.00586305979201073,0.0124302179774804,0.0188105385143769,0.0172530832169936,0.0113473507867223,0.00696916225121954,0.00950503336912393,0.0187264445555654,0.0296498374227187,0.0332486582673768,0.0270105598949105,0.0147423482609915,-0.0183588158415309,-0.174347416465527
"Anaxyrus_boreas","Anaxyrus_boreas",17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0974107268008837,-0.0974107268012777,-0.0974107268019796,-0.0909777340642395,-0.0909777340645366,-0.0909777340646895,-0.0909777340647201,-0.0909777340646935,-0.0909777340646685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaxyrus_hemiophrys","Anaxyrus_hemiophrys",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ascaphus_truei","Ascaphus_truei",12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.258314898001781,-0.142878522853545,-0.0274421477053095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelydra_serpentina","Chelydra_serpentina",92,1,NA,NA,NA,NA,NA,0.00232133398238776,-0.0045475401706041,-0.0079328434243986,-0.00137784822074982,0.00730539504505279,0.0263401779149716,0.0173360054639282,0.00854660635231763,-0.0338819938251518,-0.0413805124030195,-0.0553092886953687,-0.0722605322455399,-0.0873112806204406,-0.0738806145024615,-0.0109213769708702,7.60246908460734e-05,-0.015692277230736,-0.0341474103405407,-0.0330189478459989,-0.018695558317852,-0.0122438545475527,-0.0182261501399297,-0.0219614319077946,-0.0147571583071244,-0.00597446203746954,-0.00621115423597085,-0.0117571702517596,0.00110055076097937,0.00282827518496687,0.000811983928075799,-0.00216774429958511,0.00254899721745017,0.0107033116026941,0.00946026637887099,-0.000393490523794893,0.0117544022239773,0.0139072254531907,0.0215739500291414,-0.0986047170598399,-0.0986047170598399,-0.0986047170598396,-0.0986047170598396,NA
"Clemmys_guttata","Clemmys_guttata",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desmognathus_fuscus","Desmognathus_fuscus",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emydoidea_blandingii","Emydoidea_blandingii",62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0547545709871656,0.0541703874439771,0.0535352885653518,0.0533780859284585,0.0534228224189036,0.0526911800858609,0.0503913675456782,0.0465510176627144,0.0418160646771288,0.036833571808331,0.0319203652628612,0.0271606679263074,0.0225636629595294,0.0181832205001018,0.0142529424643887,0.0108916452451866,0.00809467546780884,0.00590568043391704,0.00441686632392768,0.0036119319902046,0.00334767920324208,0.00353218065971683,0.00419990007125759,0.00532133295159443,0.00662624306875292,0.00775020002324944,0.00854146644261355,0.0091065922031095,0.00954885759168511,0.00980837510142618,NA
