ID,min_year,max_year
4116_1,1970,2021
4116_2,1970,2021
4116_3,1970,2021
4123_1,1972,2009
4127_1,1970,2022
4159_1,1970,2021
4160_1,1970,2022
4171_1,1970,2021
4190_1,2000,2017
4192_1,1970,2021
4212_1,1984,2022
4212_2,1984,2022
4212_3,1984,2022
4212_4,1984,2022
4250_1,1973,2022
4250_2,1973,2022
4268_1,1970,2022
4268_2,1970,2022
4270_1,1970,2021
4280_1,1970,2021
4292_1,1970,2022
4307_1,1970,2021
4307_2,1970,2021
4307_3,1970,2021
4313_1,1970,2021
4313_2,1970,2021
4361_1,1970,2010
4367_1,1984,2019
4379_1,1970,2021
4383_1,1970,2021
4387_1,1970,2021
4397_1,1979,2015
4408_1,1970,2021
4408_2,1970,2021
4408_3,1970,2021
4427_1,1970,2021
4427_2,1970,2021
4427_3,1970,2021
4439_1,1970,2021
4440_1,1974,2018
4457_1,1970,2021
