Binomial	ID	year	popvalue
Halichoerus_grypus	348_1	1970	4235
Halichoerus_grypus	349_2	1970	1829
Pagophilus_groenlandicus	170_1	1970	1800000
Phocoena_phocoena	542_3	1970	4
Phocoena_phocoena	543_4	1970	4.42
Halichoerus_grypus	348_1	1971	4707
Halichoerus_grypus	349_2	1971	1719
Pagophilus_groenlandicus	170_1	1971	1750000
Phocoena_phocoena	542_3	1971	1.04
Phocoena_phocoena	543_4	1971	3.34
Halichoerus_grypus	348_1	1972	5659
Halichoerus_grypus	349_2	1972	1654
Pagophilus_groenlandicus	170_1	1972	1800000
Phocoena_phocoena	542_3	1972	6.45
Phocoena_phocoena	543_4	1972	6.44
Ursus_maritimus	258_5	1972	354.81
Ursus_maritimus	258_6	1972	354.81
Delphinapterus_leucas	187_1	1973	363
Delphinapterus_leucas	187_2	1973	363
Halichoerus_grypus	348_1	1973	6611
Halichoerus_grypus	349_2	1973	1632
Pagophilus_groenlandicus	170_1	1973	1950000
Phocoena_phocoena	542_3	1973	4.48
Phocoena_phocoena	543_4	1973	4.5
Ursus_maritimus	258_5	1973	714.96
Ursus_maritimus	258_6	1973	714.96
Erignathus_barbatus	764_1	1974	3071.9
Erignathus_barbatus	764_2	1974	3071.9
Halichoerus_grypus	348_1	1974	7082
Halichoerus_grypus	349_2	1974	1611
Pagophilus_groenlandicus	170_1	1974	2100000
Phocoena_phocoena	542_3	1974	2.08
Phocoena_phocoena	543_4	1974	7.72
Ursus_maritimus	258_5	1974	691.45
Ursus_maritimus	258_6	1974	691.45
Erignathus_barbatus	764_1	1975	1389.2
Erignathus_barbatus	764_2	1975	1389.2
Halichoerus_grypus	348_1	1975	8518
Halichoerus_grypus	349_2	1975	1567
Pagophilus_groenlandicus	170_1	1975	2200000
Phocoena_phocoena	542_3	1975	1.94
Phocoena_phocoena	543_4	1975	6.55
Ursus_maritimus	258_5	1975	1220.17
Ursus_maritimus	258_6	1975	1220.17
Erignathus_barbatus	764_1	1976	1688.6
Erignathus_barbatus	764_2	1976	1688.6
Halichoerus_grypus	348_1	1976	9471
Halichoerus_grypus	349_2	1976	1436
Pagophilus_groenlandicus	170_1	1976	2250000
Phocoena_phocoena	542_3	1976	2.05
Phocoena_phocoena	543_4	1976	3.37
Ursus_maritimus	258_5	1976	1220.08
Ursus_maritimus	258_6	1976	1220.08
Delphinapterus_leucas	187_1	1977	364
Delphinapterus_leucas	187_2	1977	364
Enhydra_lutris	274_1	1977	70
Enhydra_lutris	274_2	1977	70
Erignathus_barbatus	764_1	1977	1309.1
Erignathus_barbatus	764_2	1977	1309.1
Halichoerus_grypus	348_1	1977	10906
Halichoerus_grypus	349_2	1977	1348
Odobenus_rosmarus	606_2	1977	565
Odobenus_rosmarus	607_3	1977	290
Pagophilus_groenlandicus	170_1	1977	2300000
Phocoena_phocoena	542_3	1977	1.17
Phocoena_phocoena	543_4	1977	1.6
Ursus_maritimus	258_5	1977	1001.07
Ursus_maritimus	258_6	1977	1001.07
Enhydra_lutris	274_1	1978	67
Enhydra_lutris	274_2	1978	67
Erignathus_barbatus	764_1	1978	3109
Erignathus_barbatus	764_2	1978	3109
Halichoerus_grypus	348_1	1978	11859
Halichoerus_grypus	349_2	1978	1371
Megaptera_novaeangliae	614_10	1978	1965
Megaptera_novaeangliae	614_11	1978	1965
Megaptera_novaeangliae	614_12	1978	1965
Pagophilus_groenlandicus	170_1	1978	2400000
Phocoena_phocoena	542_3	1978	0.66
Phocoena_phocoena	543_4	1978	1.93
Ursus_maritimus	258_5	1978	901.17
Ursus_maritimus	258_6	1978	901.17
Erignathus_barbatus	764_1	1979	2055.6
Erignathus_barbatus	764_2	1979	2055.6
Halichoerus_grypus	348_1	1979	13293
Halichoerus_grypus	349_2	1979	1437
Megaptera_novaeangliae	614_10	1979	3211
Megaptera_novaeangliae	614_11	1979	3211
Megaptera_novaeangliae	614_12	1979	3211
Pagophilus_groenlandicus	170_1	1979	2500000
Ursus_maritimus	258_5	1979	1391.03
Ursus_maritimus	258_6	1979	1391.03
Enhydra_lutris	274_1	1980	74
Enhydra_lutris	274_2	1980	74
Halichoerus_grypus	348_1	1980	15690
Halichoerus_grypus	349_2	1980	1415
Megaptera_novaeangliae	614_10	1980	2419
Megaptera_novaeangliae	614_11	1980	2419
Megaptera_novaeangliae	614_12	1980	2419
Pagophilus_groenlandicus	170_1	1980	2600000
Halichoerus_grypus	348_1	1981	17123
Halichoerus_grypus	349_2	1981	1306
Megaptera_novaeangliae	614_10	1981	1938
Megaptera_novaeangliae	614_11	1981	1938
Megaptera_novaeangliae	614_12	1981	1938
Pagophilus_groenlandicus	170_1	1981	2700000
Delphinapterus_leucas	187_1	1982	512
Delphinapterus_leucas	187_2	1982	512
Enhydra_lutris	274_1	1982	116
Enhydra_lutris	274_2	1982	116
Halichoerus_grypus	348_1	1982	20483
Halichoerus_grypus	349_2	1982	1218
Megaptera_novaeangliae	614_10	1982	2665
Megaptera_novaeangliae	614_11	1982	2665
Megaptera_novaeangliae	614_12	1982	2665
Pagophilus_groenlandicus	170_1	1982	2800000
Halichoerus_grypus	348_1	1983	23842
Halichoerus_grypus	349_2	1983	1131
Megaptera_novaeangliae	614_10	1983	1894
Megaptera_novaeangliae	614_11	1983	1894
Megaptera_novaeangliae	614_12	1983	1894
Megaptera_novaeangliae	615_13	1983	146
Megaptera_novaeangliae	615_14	1983	146
Megaptera_novaeangliae	615_15	1983	146
Pagophilus_groenlandicus	170_1	1983	2900000
Delphinapterus_leucas	187_1	1984	441
Delphinapterus_leucas	187_2	1984	441
Enhydra_lutris	274_1	1984	345
Enhydra_lutris	274_2	1984	345
Halichoerus_grypus	348_1	1984	27201
