ID,min_year,max_year
1278_7,1999,2014
1278_8,1999,2014
1648_2,2004,2005
170_1,1970,2009
187_1,1973,1985
187_2,1973,1985
188_3,1988,2002
188_4,1988,2002
212_1,2000,2003
212_2,2000,2003
212_3,2000,2003
2196_4,2010,2011
256_1,1987,2004
256_2,1987,2004
257_3,1985,2005
257_4,1985,2005
258_5,1972,2005
258_6,1972,2005
274_1,1977,2013
274_2,1977,2013
275_3,1990,2013
275_4,1990,2013
296_4,1987,2008
296_5,1987,2008
296_6,1987,2008
2999_11,2015,2017
2999_12,2015,2017
3021_10,2001,2014
3021_9,2001,2014
308_2,2004,2005
310_1,2004,2005
311_7,2004,2005
311_8,2004,2005
311_9,2004,2005
3301_11,2004,2015
3301_12,2004,2015
348_1,1970,2010
349_2,1970,2010
527_7,1993,1997
527_8,1993,1997
528_10,1993,1997
528_9,1993,1997
531_3,1994,1997
535_5,1985,2008
535_6,1985,2008
542_3,1970,1978
543_4,1970,1978
605_1,2005,2008
606_2,1977,2009
607_3,1977,2009
614_10,1978,1984
614_11,1978,1984
614_12,1978,1984
615_13,1983,1986
615_14,1983,1986
615_15,1983,1986
626_1,1995,2010
626_2,1995,2010
764_1,1974,1979
764_2,1974,1979
82_1,1991,1999
