Binomial	ID	year	popvalue
Acanthis_flammea	4126_1	1970	16.885218
Acanthis_hornemanni	4193_1	1970	9.008006
Acanthis_hornemanni	4193_2	1970	9.008006
Acanthis_hornemanni	4193_3	1970	9.008006
Accipiter_cooperii	4130_1	1970	0.0237
Accipiter_cooperii	4130_2	1970	0.0237
Accipiter_gentilis	4251_1	1970	0.0126
Accipiter_striatus	4335_1	1970	0.0128
Accipiter_striatus	4335_2	1970	0.0128
Aegolius_funereus	4456_1	1970	0.3820335
Aeronautes_saxatalis	4398_1	1970	0.0485
Aeronautes_saxatalis	4398_2	1970	0.0485
Anser_caerulescens	4493_1	1970	2.5193245
Anser_caerulescens	4493_2	1970	2.5193245
Anser_caerulescens	4493_3	1970	2.5193245
Anthus_rubescens	4120_1	1970	82.89586
Anthus_rubescens	4120_2	1970	82.89586
Anthus_spragueii	4349_1	1970	6.47
Anthus_spragueii	4349_2	1970	6.47
Anthus_spragueii	4349_3	1970	6.47
Antrostomus_vociferus	4147_1	1970	0.0376
Aquila_chrysaetos	4161_1	1970	0.0127
Archilochus_alexandri	4435_1	1970	0.00879
Archilochus_alexandri	4435_2	1970	0.00879
Archilochus_colubris	4318_1	1970	0.0888
Asio_otus	4228_1	1970	11.492141
Asio_otus	4228_2	1970	11.492141
Athene_cunicularia	4470_1	1970	0.08
Athene_cunicularia	4470_2	1970	0.08
Baeolophus_bicolor	4368_1	1970	0.000615
Bartramia_longicauda	4371_1	1970	0.456
Bartramia_longicauda	4371_2	1970	0.456
Bartramia_longicauda	4371_3	1970	0.456
Bartramia_longicauda	4371_4	1970	0.456
Bonasa_umbellus	4322_1	1970	0.665
Brachyramphus_marmoratus	4235_1	1970	11.086121
Branta_bernicla	4459_1	1970	6.4408016
Branta_bernicla	4459_2	1970	6.4408016
Bubo_virginianus	4178_1	1970	4.9593167
Buteo_jamaicensis	4306_1	1970	0.344
Buteo_jamaicensis	4306_2	1970	0.344
Buteo_jamaicensis	4306_3	1970	0.344
Buteo_jamaicensis	4306_4	1970	0.344
Buteo_platypterus	4462_1	1970	0.0837
Buteo_swainsoni	4356_1	1970	0.649
Calamospiza_melanocorys	4209_1	1970	76.3
Calamospiza_melanocorys	4209_2	1970	76.3
Calcarius_lapponicus	4207_1	1970	11.707697
Calcarius_pictus	4339_1	1970	5.4562945
Calidris_maritima	4290_1	1970	44.041897
Calidris_maritima	4290_2	1970	44.041897
Calidris_maritima	4290_3	1970	44.041897
Calidris_virgata	4355_1	1970	24.928144
Calypte_anna	4220_1	1970	0.006985491
Canachites_canadensis	4350_1	1970	11.552876
Canachites_canadensis	4350_2	1970	11.552876
Cardellina_canadensis	4476_1	1970	1.79
Cardellina_canadensis	4476_2	1970	1.79
Catharus_fuscescens	4374_1	1970	4.72
Catharus_guttatus	4191_1	1970	19.3
Catharus_guttatus	4191_2	1970	19.3
Catharus_minimus	4169_1	1970	6.02
Catharus_minimus	4169_2	1970	6.02
Catharus_minimus	4169_3	1970	6.02
Catharus_ustulatus	4357_1	1970	21.2
Catharus_ustulatus	4357_2	1970	21.2
Catherpes_mexicanus	4478_1	1970	0.190995
Centronyx_bairdii	4253_1	1970	9.2
Certhia_americana	4463_1	1970	0.161
Certhia_americana	4463_2	1970	0.161
Charadrius_vociferus	4204_1	1970	3.37
Charadrius_vociferus	4204_2	1970	3.37
Charadrius_vociferus	4204_3	1970	3.37
Chondestes_grammacus	4210_1	1970	0.122
Chondestes_grammacus	4210_2	1970	0.122
Chondestes_grammacus	4210_3	1970	0.122
Circus_hudsonius	4252_1	1970	0.379
Circus_hudsonius	4252_2	1970	0.379
Cistothorus_stellaris	4332_1	1970	0.62
Cistothorus_stellaris	4332_2	1970	0.62
Clangula_hyemalis	4229_1	1970	21.069925
Coccyzus_americanus	4417_1	1970	0.0841
Coccyzus_americanus	4417_2	1970	0.0841
Coccyzus_americanus	4417_3	1970	0.0841
Coccyzus_erythropthalmus	4431_1	1970	0.621
Colaptes_auratus	4248_1	1970	2.97
Colinus_virginianus	4246_1	1970	3.68
Colinus_virginianus	4246_2	1970	3.68
Contopus_sordidulus	4390_1	1970	3.2
Corthylio_calendula	4317_1	1970	17.199675
Corvus_brachyrhynchos	4447_1	1970	16.8
Corvus_brachyrhynchos	4447_2	1970	16.8
Corvus_corax	4125_1	1970	1.88
Corvus_ossifragus	4154_1	1970	0.000104142
Cyanocitta_cristata	4446_1	1970	1.63
Cyanocitta_stelleri	4351_1	1970	0.966
Dendragapus_obscurus	4138_1	1970	5.321885
