ID,min_year,max_year
4109_1,1970,2022
4111_1,1970,2022
4114_1,1970,2022
4115_1,1970,2022
4119_1,1970,2022
4120_1,1970,2021
4120_2,1970,2021
4125_1,1970,2022
4126_1,1970,2021
4129_1,1970,2022
4129_2,1970,2022
4130_1,1970,2022
4130_2,1970,2022
4133_1,1970,2022
4137_1,1970,2022
4138_1,1970,2021
4140_1,1970,2022
4141_1,1970,2022
4142_1,1970,2022
4144_1,1970,2022
4146_1,1970,2022
4147_1,1970,2022
4149_1,1970,2021
4149_2,1970,2021
4154_1,1970,2021
4156_1,1970,2021
4156_2,1970,2021
4161_1,1970,2022
4163_1,1970,2021
4163_2,1970,2021
4164_1,1970,2021
4165_1,1970,2022
4169_1,1970,2022
4169_2,1970,2022
4169_3,1970,2022
4174_1,1970,2022
4174_2,1970,2022
4177_1,1970,2021
4178_1,1970,2021
4180_1,1976,2022
4180_2,1976,2022
4184_1,1970,2021
4191_1,1970,2022
4191_2,1970,2022
4193_1,1970,2021
4193_2,1970,2021
4193_3,1970,2021
4197_1,1970,2022
4200_1,1980,2019
4200_2,1980,2019
4200_3,1980,2019
4200_4,1980,2019
4202_1,1970,2021
4203_1,1970,2022
4204_1,1970,2022
4204_2,1970,2022
4204_3,1970,2022
4205_1,1970,2021
4207_1,1970,2021
4209_1,1970,2022
4209_2,1970,2022
4210_1,1970,2022
4210_2,1970,2022
4210_3,1970,2022
4211_1,1970,2022
4215_1,1980,2019
4220_1,1970,2021
4222_1,1970,2022
4222_2,1970,2022
4222_3,1970,2022
4222_4,1970,2022
4223_1,1970,2022
4225_1,1970,2022
4225_2,1970,2022
4228_1,1970,2021
4228_2,1970,2021
4229_1,1970,2021
4232_1,1970,2022
4232_2,1970,2022
4235_1,1970,2021
4237_1,1970,2022
4239_1,1970,2022
4241_1,1970,2022
4243_1,1970,2022
4244_1,1970,2022
4246_1,1970,2022
4246_2,1970,2022
4248_1,1970,2022
4251_1,1970,2022
4252_1,1970,2022
4252_2,1970,2022
4253_1,1970,2022
4254_1,1970,2021
4254_2,1970,2021
4254_3,1970,2021
4255_1,1970,2021
4255_2,1970,2021
4255_3,1970,2021
4256_1,1970,2022
4262_1,1970,2021
4262_2,1970,2021
4266_1,1970,2022
4266_2,1970,2022
4267_1,1970,2022
4267_2,1970,2022
4269_1,1970,2022
4269_2,1970,2022
4269_3,1970,2022
4272_1,1970,2022
4273_1,1970,2022
4274_1,1980,2019
4282_1,1970,2021
4282_2,1970,2021
4283_1,1970,2022
4284_1,1970,2022
4287_1,1970,2022
4290_1,1970,2021
4290_2,1970,2021
4290_3,1970,2021
4291_1,1970,2022
4295_1,1970,2022
4297_1,1970,2022
4298_1,1970,2022
4298_2,1970,2022
4300_1,1970,2022
4300_2,1970,2022
4302_1,1970,2022
4302_2,1970,2022
4306_1,1970,2022
4306_2,1970,2022
4306_3,1970,2022
4306_4,1970,2022
4308_1,1970,2021
4308_2,1970,2021
4314_1,1970,2022
4315_1,1970,2022
4315_2,1970,2022
4317_1,1970,2021
4318_1,1970,2022
4319_1,1970,2022
4321_1,1980,2019
4322_1,1970,2022
4323_1,1970,2022
4327_1,1970,2022
4327_2,1970,2022
4328_1,1970,2022
4328_2,1970,2022
4328_3,1970,2022
4331_1,1970,2022
4331_2,1970,2022
4332_1,1970,2022
4332_2,1970,2022
4334_1,1980,2019
4335_1,1970,2022
4335_2,1970,2022
4336_1,1970,2022
4337_1,1980,2019
4337_2,1980,2019
4337_3,1980,2019
4337_4,1980,2019
4337_5,1980,2019
4339_1,1970,2021
4340_1,1970,2021
4344_1,1970,2022
4344_2,1970,2022
4349_1,1970,2022
4349_2,1970,2022
4349_3,1970,2022
4350_1,1970,2021
4350_2,1970,2021
4351_1,1970,2022
4352_1,1980,2019
4353_1,1970,2022
4355_1,1970,2021
4356_1,1970,2022
4357_1,1970,2022
4357_2,1970,2022
4358_1,1970,2022
4358_2,1970,2022
4358_3,1970,2022
4359_1,1970,2022
4362_1,1970,2022
4363_1,1970,2022
4368_1,1970,2022
4371_1,1970,2022
4371_2,1970,2022
4371_3,1970,2022
4371_4,1970,2022
4372_1,1970,2022
4372_2,1970,2022
4372_3,1970,2022
4374_1,1970,2022
4377_1,1970,2022
4377_2,1970,2022
4377_3,1970,2022
4378_1,1970,2022
4380_1,1970,2022
4380_2,1970,2022
4380_3,1970,2022
4381_1,1970,2022
4385_1,1970,2022
4385_2,1970,2022
4389_1,1970,2022
4389_2,1970,2022
4390_1,1970,2022
4393_1,1970,2021
4396_1,1970,2021
4398_1,1970,2022
4398_2,1970,2022
4399_1,1970,2021
4402_1,1970,2022
4406_1,1970,2022
4410_1,1970,2022
4415_1,1970,2022
4415_2,1970,2022
4415_3,1970,2022
4416_1,1970,2022
4416_2,1970,2022
4416_3,1970,2022
4417_1,1970,2022
4417_2,1970,2022
4417_3,1970,2022
4421_1,1970,2022
4422_1,1970,2022
4422_2,1970,2022
4423_1,1970,2022
4423_2,1970,2022
4423_3,1970,2022
4428_1,1970,2022
4428_2,1970,2022
4428_3,1970,2022
4428_4,1970,2022
4430_1,1980,2019
4431_1,1970,2022
4432_1,1970,2022
4432_2,1970,2022
4434_1,1970,2022
4435_1,1970,2022
4435_2,1970,2022
4438_1,1970,2022
4438_2,1970,2022
4442_1,1970,2022
4442_2,1970,2022
4444_1,1970,2022
4444_2,1970,2022
4446_1,1970,2022
4447_1,1970,2022
4447_2,1970,2022
4451_1,1970,2022
4451_2,1970,2022
4452_1,1970,2022
4455_1,1970,2021
4456_1,1970,2021
4459_1,1970,2021
4459_2,1970,2021
4460_1,1970,2022
4460_2,1970,2022
4460_3,1970,2022
4461_1,1970,2022
4462_1,1970,2022
4463_1,1970,2022
4463_2,1970,2022
4464_1,1970,2022
4465_1,1970,2022
4466_1,1980,2019
4468_1,1970,2022
4468_2,1970,2022
4469_1,1980,2019
4470_1,1970,2022
4470_2,1970,2022
4472_1,1976,2019
4472_2,1976,2019
4472_3,1976,2019
4474_1,1970,2022
4474_2,1970,2022
4476_1,1970,2022
4476_2,1970,2022
4478_1,1970,2021
4480_1,1970,2022
4487_1,1970,2022
4487_2,1970,2022
4488_1,1970,2022
4488_2,1970,2022
4492_1,1977,2022
4492_2,1977,2022
4492_3,1977,2022
4493_1,1970,2021
4493_2,1970,2021
4493_3,1970,2021
