Binomial	ID	year	popvalue
Hyla_versicolor	244_2	1988	16
Hyla_versicolor	244_2	1989	37.5
Hyla_versicolor	244_2	1990	14.5
Plestiodon_fasciatus	81_1	1990	16
Hyla_versicolor	244_2	1991	43.5
Plestiodon_fasciatus	81_1	1991	87
Hyla_versicolor	244_2	1992	17
Plestiodon_fasciatus	81_1	1992	47
Hyla_versicolor	244_2	1993	41.5
Plestiodon_fasciatus	81_1	1993	20
Plestiodon_fasciatus	81_1	1994	12
Plestiodon_fasciatus	81_1	1995	6
Ensatina_eschscholtzii	334_1	1997	0.69
Anaxyrus_americanus	342_7	1998	1.5
Anaxyrus_americanus	342_8	1998	1.5
Ensatina_eschscholtzii	334_1	1998	0.55
Plestiodon_fasciatus	3026_2	1998	1.036585366
Anaxyrus_americanus	342_7	1999	1.1
Anaxyrus_americanus	342_8	1999	1.1
Clemmys_guttata	279_4	1999	61.9809
Clemmys_guttata	279_5	1999	61.9809
Clemmys_guttata	279_6	1999	61.9809
Ensatina_eschscholtzii	334_1	1999	0.14
Plestiodon_fasciatus	3026_2	1999	1.298245614
Thamnophis_sirtalis	250_1	1999	6002.5
Clemmys_guttata	279_4	2000	66.956
Clemmys_guttata	279_5	2000	66.956
Clemmys_guttata	279_6	2000	66.956
Plestiodon_fasciatus	3026_2	2000	1.356
Thamnophis_sirtalis	250_1	2000	6865
Clemmys_guttata	279_4	2001	149.7019
Clemmys_guttata	279_5	2001	149.7019
Clemmys_guttata	279_6	2001	149.7019
Plestiodon_fasciatus	3026_2	2001	0.783359498
Clemmys_guttata	279_4	2002	98.249
Clemmys_guttata	279_5	2002	98.249
Clemmys_guttata	279_6	2002	98.249
Plestiodon_fasciatus	3026_2	2002	1.196319018
Clemmys_guttata	279_4	2003	160.1377
Clemmys_guttata	279_5	2003	160.1377
Clemmys_guttata	279_6	2003	160.1377
Plestiodon_fasciatus	3026_2	2003	1.097014925
Plethodon_cinereus	325_3	2003	61
Plethodon_cinereus	325_4	2003	61
Clemmys_guttata	279_4	2004	157.2618
Clemmys_guttata	279_5	2004	157.2618
Clemmys_guttata	279_6	2004	157.2618
Plestiodon_fasciatus	3026_2	2004	1.169811321
Plethodon_cinereus	325_3	2004	56
Plethodon_cinereus	325_4	2004	56
Plethodon_cinereus	3159_35	2004	56
Plethodon_cinereus	3159_36	2004	56
Clemmys_guttata	279_4	2005	135.003
Clemmys_guttata	279_5	2005	135.003
Clemmys_guttata	279_6	2005	135.003
Plestiodon_fasciatus	3026_2	2005	1.228346457
Plethodon_cinereus	3159_35	2005	67
Plethodon_cinereus	3159_36	2005	67
Clemmys_guttata	279_4	2006	131.3911
Clemmys_guttata	279_5	2006	131.3911
Clemmys_guttata	279_6	2006	131.3911
Plestiodon_fasciatus	3026_2	2006	1.487046632
Plethodon_cinereus	660_7	2006	7.75
Plethodon_cinereus	660_8	2006	7.75
Plethodon_cinereus	2997_11	2006	2.25
Plethodon_cinereus	2997_12	2006	2.25
Plethodon_cinereus	3109_13	2006	0.01497006
Plethodon_cinereus	3109_14	2006	0.01497006
Plethodon_cinereus	3159_35	2006	81
Plethodon_cinereus	3159_36	2006	81
Clemmys_guttata	279_4	2007	115.757
Clemmys_guttata	279_5	2007	115.757
Clemmys_guttata	279_6	2007	115.757
Plestiodon_fasciatus	3026_2	2007	1.272727273
Plethodon_cinereus	660_7	2007	3
Plethodon_cinereus	660_8	2007	3
Plethodon_cinereus	2997_11	2007	13.25
Plethodon_cinereus	2997_12	2007	13.25
Plethodon_cinereus	3109_13	2007	0.026666667
Plethodon_cinereus	3109_14	2007	0.026666667
Plethodon_cinereus	3110_15	2007	0.117886179
Plethodon_cinereus	3110_16	2007	0.117886179
Plethodon_cinereus	3159_35	2007	95
Plethodon_cinereus	3159_36	2007	95
Clemmys_guttata	279_4	2008	165.87
Clemmys_guttata	279_5	2008	165.87
Clemmys_guttata	279_6	2008	165.87
Plestiodon_fasciatus	3026_2	2008	1.211678832
Plethodon_cinereus	660_7	2008	4.33
Plethodon_cinereus	660_8	2008	4.33
Plethodon_cinereus	2997_11	2008	30.5
Plethodon_cinereus	2997_12	2008	30.5
Plethodon_cinereus	3110_15	2008	0.165803109
Plethodon_cinereus	3110_16	2008	0.165803109
Plethodon_cinereus	3112_19	2008	0.0375
Plethodon_cinereus	3112_20	2008	0.0375
Plethodon_cinereus	3114_23	2008	0.058333333
Plethodon_cinereus	3114_24	2008	0.058333333
Plethodon_cinereus	3116_27	2008	0.04375
Plethodon_cinereus	3116_28	2008	0.04375
Plethodon_cinereus	3117_29	2008	0.008333333
Plethodon_cinereus	3117_30	2008	0.008333333
Plethodon_cinereus	3159_35	2008	100
Plethodon_cinereus	3159_36	2008	100
Clemmys_guttata	279_4	2009	170.3572
Clemmys_guttata	279_5	2009	170.3572
Clemmys_guttata	279_6	2009	170.3572
Plestiodon_fasciatus	3026_2	2009	1.256756757
Plethodon_cinereus	660_7	2009	12.8
Plethodon_cinereus	660_8	2009	12.8
Plethodon_cinereus	2997_11	2009	58.25
Plethodon_cinereus	2997_12	2009	58.25
Plethodon_cinereus	3110_15	2009	0.222222222
Plethodon_cinereus	3110_16	2009	0.222222222
Plethodon_cinereus	3112_19	2009	0.199004975
Plethodon_cinereus	3112_20	2009	0.199004975
Plethodon_cinereus	3114_23	2009	0.215767635
Plethodon_cinereus	3114_24	2009	0.215767635
Plethodon_cinereus	3115_25	2009	0.175
Plethodon_cinereus	3115_26	2009	0.175
Plethodon_cinereus	3116_27	2009	0.18226601
Plethodon_cinereus	3116_28	2009	0.18226601
Plethodon_cinereus	3117_29	2009	0.055
Plethodon_cinereus	3117_30	2009	0.055
Plethodon_cinereus	3118_31	2009	0.1
Plethodon_cinereus	3118_32	2009	0.1
Plethodon_cinereus	3159_35	2009	88
Plethodon_cinereus	3159_36	2009	88
Plestiodon_fasciatus	3026_2	2010	1.203252033
Plethodon_cinereus	2997_11	2010	29.25
Plethodon_cinereus	2997_12	2010	29.25
Plethodon_cinereus	3112_19	2010	0.308641975
Plethodon_cinereus	3112_20	2010	0.308641975
