ID,min_year,max_year
244_2,1988,1993
250_1,1999,2000
279_4,1999,2009
279_5,1999,2009
279_6,1999,2009
2997_11,2006,2019
2997_12,2006,2019
3026_2,1998,2012
3109_13,2006,2007
3109_14,2006,2007
3110_15,2007,2016
3110_16,2007,2016
3111_17,2011,2015
3111_18,2011,2015
3112_19,2008,2016
3112_20,2008,2016
3113_21,2010,2016
3113_22,2010,2016
3114_23,2008,2014
3114_24,2008,2014
3115_25,2009,2015
3115_26,2009,2015
3116_27,2008,2016
3116_28,2008,2016
3117_29,2008,2016
3117_30,2008,2016
3118_31,2009,2015
3118_32,2009,2015
3119_33,2011,2015
3119_34,2011,2015
3159_35,2004,2018
3159_36,2004,2018
325_3,2003,2004
325_4,2003,2004
334_1,1997,1999
342_7,1998,1999
342_8,1998,1999
660_7,2006,2014
660_8,2006,2014
661_10,2011,2013
661_9,2011,2013
81_1,1990,1995
