ID,min_year,max_year
100_7,1993,1998
100_8,1993,1998
107_1,1977,2001
107_2,1977,2001
108_3,1977,2001
108_4,1977,2001
1082_7,2004,2011
1082_8,2004,2011
1083_10,1996,2012
1083_9,1996,2012
1084_11,1998,2011
1084_12,1998,2011
1085_13,2002,2010
1085_14,2002,2010
1086_15,2002,2010
1086_16,2002,2010
1087_17,2000,2013
1087_18,2000,2013
1088_19,1995,2009
1088_20,1995,2009
1089_21,1972,2013
1089_22,1972,2013
109_5,1987,1994
109_6,1987,1994
1090_23,1981,2014
1090_24,1981,2014
1091_25,1971,2014
1091_26,1971,2014
1092_27,1980,2011
1092_28,1980,2011
111_10,1995,2002
111_9,1995,2002
1118_11,1987,1990
1119_12,1987,1990
112_11,1995,2002
112_12,1995,2002
1120_13,1987,1990
1121_14,1987,1990
1122_15,1987,1990
1123_16,1987,1990
1124_17,1987,1990
1125_18,1987,1990
1126_19,1987,1990
1127_20,1987,1990
1128_21,1987,1990
1129_22,1998,2001
113_13,1996,2002
113_14,1996,2002
114_15,1996,2002
114_16,1996,2002
115_17,1994,2002
115_18,1994,2002
1158_7,1998,2013
1158_8,1998,2013
1158_9,1998,2013
1159_10,1983,2006
1159_11,1983,2006
1159_12,1983,2006
116_19,1994,2004
116_20,1994,2004
1160_13,1987,2014
1160_14,1987,2014
1160_15,1987,2014
1161_16,1987,2014
1161_17,1987,2014
1161_18,1987,2014
1162_19,1987,2014
1162_20,1987,2014
1162_21,1987,2014
1163_22,1987,2014
1163_23,1987,2014
1163_24,1987,2014
1164_25,1987,2014
1164_26,1987,2014
1164_27,1987,2014
1165_28,1987,2014
1165_29,1987,2014
1165_30,1987,2014
1166_31,1987,2014
1166_32,1987,2014
1166_33,1987,2014
1167_34,1987,2014
1167_35,1987,2014
1167_36,1987,2014
1168_37,1987,2000
1168_38,1987,2000
1168_39,1987,2000
1169_40,1987,2000
1169_41,1987,2000
1169_42,1987,2000
117_21,1996,2004
117_22,1996,2004
1170_43,2003,2014
1170_44,2003,2014
1170_45,2003,2014
118_23,1997,2004
118_24,1997,2004
119_25,1997,2002
119_26,1997,2002
120_27,1995,2004
120_28,1995,2004
121_29,1995,2004
121_30,1995,2004
122_31,1994,2004
122_32,1994,2004
123_33,1992,2002
123_34,1992,2002
124_35,1999,2002
124_36,1999,2002
125_37,1992,2002
125_38,1992,2002
133_3,1971,2003
133_4,1971,2003
1553_7,2004,2011
1553_8,2004,2011
1554_10,2005,2011
1554_9,2005,2011
1555_11,2005,2011
1555_12,2005,2011
1649_5,2000,2001
1682_29,1999,2014
1682_30,1999,2014
181_3,1970,1975
181_4,1970,1975
183_7,1970,1975
183_8,1970,1975
184_1,1970,1975
185_1,1970,1975
1858_1,2013,2015
2093_3,2008,2012
2094_4,2008,2010
2095_5,2008,2009
2096_6,2011,2013
2097_7,2011,2013
2098_8,2010,2011
2099_9,2010,2011
2100_10,2010,2011
2101_11,2010,2011
2102_12,2010,2011
2103_13,2009,2013
2104_14,1999,2013
