population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
51_1,1,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014873,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51_2,1,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014873,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,-0.0337774392014865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
688_3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147300155088355,-0.147300155088355,-0.147300155088355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
688_4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.147300155088355,-0.147300155088355,-0.147300155088355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
915_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
915_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
916_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
916_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3154_49,1,0.0221802881130415,0.0184702080876176,0.0137291553316161,0.0121147594574222,0.0151567316355679,0.019894006861743,0.0213046056785031,0.0166313384122967,0.00759418820247237,-0.0014166234717683,-0.00723827207031791,-0.0100795143785453,-0.0118237400978591,-0.0129194174347216,-0.0133665463891157,-0.0120641028101955,-0.00454516039342101,0.0105426238165367,0.0310115090356318,0.0462231815453507,0.0474949513467267,0.0353801146528654,0.016955869464462,-0.00432291767420034,-0.0210903997957206,-0.0300552244143542,-0.0325798252628626,-0.0295354410336648,-0.0226217051972171,-0.0125960897223387,5.52564069367101e-05,0.0129890057749202,0.0227938290748355,0.028716260319257,0.0307562995081727,0.0289139466415791,0.0232615531425417,0.0144401650075627,0.00429605914197717,-0.00522776154673377,-0.0133820155699484,-0.0205197363818495,-0.0269551057347828,-0.0323665201146972,-0.0352590886620936,NA,NA,NA,NA,NA,NA,NA
3154_50,1,0.0221802881130415,0.0184702080876176,0.0137291553316161,0.0121147594574222,0.0151567316355679,0.019894006861743,0.0213046056785031,0.0166313384122967,0.00759418820247237,-0.0014166234717683,-0.00723827207031791,-0.0100795143785453,-0.0118237400978591,-0.0129194174347216,-0.0133665463891157,-0.0120641028101955,-0.00454516039342101,0.0105426238165367,0.0310115090356318,0.0462231815453507,0.0474949513467267,0.0353801146528654,0.016955869464462,-0.00432291767420034,-0.0210903997957206,-0.0300552244143542,-0.0325798252628626,-0.0295354410336648,-0.0226217051972171,-0.0125960897223387,5.52564069367101e-05,0.0129890057749202,0.0227938290748355,0.028716260319257,0.0307562995081727,0.0289139466415791,0.0232615531425417,0.0144401650075627,0.00429605914197717,-0.00522776154673377,-0.0133820155699484,-0.0205197363818495,-0.0269551057347828,-0.0323665201146972,-0.0352590886620936,NA,NA,NA,NA,NA,NA,NA
3154_51,1,0.0221802881130415,0.0184702080876176,0.0137291553316161,0.0121147594574222,0.0151567316355679,0.019894006861743,0.0213046056785031,0.0166313384122967,0.00759418820247237,-0.0014166234717683,-0.00723827207031791,-0.0100795143785453,-0.0118237400978591,-0.0129194174347216,-0.0133665463891157,-0.0120641028101955,-0.00454516039342101,0.0105426238165367,0.0310115090356318,0.0462231815453507,0.0474949513467267,0.0353801146528654,0.016955869464462,-0.00432291767420034,-0.0210903997957206,-0.0300552244143542,-0.0325798252628626,-0.0295354410336648,-0.0226217051972171,-0.0125960897223387,5.52564069367101e-05,0.0129890057749202,0.0227938290748355,0.028716260319257,0.0307562995081727,0.0289139466415791,0.0232615531425417,0.0144401650075627,0.00429605914197717,-0.00522776154673377,-0.0133820155699484,-0.0205197363818495,-0.0269551057347828,-0.0323665201146972,-0.0352590886620936,NA,NA,NA,NA,NA,NA,NA
1159_10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0448465006453165,-0.0455869522228167,-0.051081413790123,-0.0648095194117984,-0.0856503138735967,-0.107518507868739,-0.122458104457939,-0.124435120377209,-0.111546114046188,-0.08678698368298,-0.0561963123435343,-0.0236315804726732,-0.000422989184934108,0.00573197476775,-0.00197587879903649,-0.0117028371745809,-0.0127596257838558,-0.00486653261503189,0.00294564916028683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
