Binomial	ID	year	popvalue
Falco_sparverius	4109	1970	0.493
Chaetura_pelagica	4110	1970	0.935
Spizella_passerina	4111	1970	14
Spatula_cyanoptera	4112	1970	0.0303
Nucifraga_columbiana	4113	1970	0.233
Spizella_pallida	4114	1970	8.63
Petrochelidon_pyrrhonota	4115	1970	12.9
Somateria_mollissima	4116	1970	31.40238
Gallinula_galeata	4117	1970	0.112
Bucephala_clangula	4118	1970	29.298761
Quiscalus_quiscula	4119	1970	8.13
Anthus_rubescens	4120	1970	82.89586
Gavia_immer	4121	1970	1.04
Mergus_merganser	4122	1970	8.8835945
Chordeiles_minor	4124	1970	0.396
Corvus_corax	4125	1970	1.88
Acanthis_flammea	4126	1970	16.885218
Sterna_hirundo	4127	1970	0.856
Geothlypis_trichas	4128	1970	5.84
Oporornis_agilis	4129	1970	0.707
Accipiter_cooperii	4130	1970	0.0237
Setophaga_ruticilla	4131	1970	4.39
Junco_hyemalis	4132	1970	88.62206
Spiza_americana	4133	1970	0.0137
Nannopterum_aritum	4134	1970	0.242
Dryobates_pubescens	4135	1970	0.283
Empidonax_oberholseri	4137	1970	2.34
Dendragapus_obscurus	4138	1970	5.321885
Podiceps_nigricollis	4139	1970	0.461
Sialia_sialis	4140	1970	0.0843
Tyrannus_tyrannus	4141	1970	1.97
Turdus_migratorius	4142	1970	24.1
Sturnella_magna	4143	1970	4.64
Sayornis_phoebe	4144	1970	1.18
Megascops_asio	4145	1970	0.13454816
Pipilo_erythrophthalmus	4146	1970	0.339
Antrostomus_vociferus	4147	1970	0.0376
Contopus_virens	4148	1970	1.25
Mareca_penelope	4149	1970	2.4313183
Coccothraustes_vespertinus	4150	1970	4.15
Buteo_regalis	4151	1970	0.162
Spizella_pusilla	4152	1970	0.767
Picoides_dorsalis	4153	1970	0.0762
Corvus_ossifragus	4154	1970	0.000104142
Sterna_forsteri	4155	1970	0.0732
Passerella_iliaca	4156	1970	31.577961
Leucophaeus_pipixcan	4157	1970	234
Mareca_strepera	4158	1970	966268
Larus_hyperboreus	4159	1970	40.32553
Larus_glaucescens	4160	1970	17.9
Aquila_chrysaetos	4161	1970	0.0127
Regulus_satrapa	4162	1970	1.08
Zonotrichia_atricapilla	4163	1970	41.953995
Spizelloides_arborea	4164	1970	8.315418
Vermivora_chrysoptera	4165	1970	0.0369
Ammodramus_savannarum	4166	1970	0.954
Dumetella_carolinensis	4167	1970	0.97
Empidonax_wrightii	4168	1970	0.00489
Catharus_minimus	4169	1970	6.02
Leucosticte_tephrocotis	4170	1970	17.910978
Larus_marinus	4171	1970	82.529655
Ardea_herodias	4172	1970	0.447
Myiarchus_crinitus	4174	1970	0.942
