ID,min_year,max_year
4108,1978,2022
4109,1970,2022
4110,1970,2022
4111,1970,2022
4112,1970,2022
4113,1970,2022
4114,1970,2022
4115,1970,2022
4116,1970,2021
4117,1970,2022
4118,1970,2021
4119,1970,2022
4120,1970,2021
4121,1970,2022
4122,1970,2021
4123,1972,2009
4124,1970,2022
4125,1970,2022
4126,1970,2021
4127,1970,2022
4128,1970,2022
4129,1970,2022
4130,1970,2022
4131,1970,2022
4132,1970,2021
4133,1970,2022
4134,1970,2022
4135,1970,2022
4136,1980,2019
4137,1970,2022
4138,1970,2021
4139,1970,2022
4140,1970,2022
4141,1970,2022
4142,1970,2022
4143,1970,2022
4144,1970,2022
4145,1970,2021
4146,1970,2022
4147,1970,2022
4148,1970,2022
4149,1970,2021
4150,1970,2022
4151,1970,2022
4152,1970,2022
4153,1970,2022
4154,1970,2021
4155,1970,2022
4156,1970,2021
4157,1970,2022
4158,1970,2022
4159,1970,2021
4160,1970,2022
4161,1970,2022
4162,1970,2022
4163,1970,2021
4164,1970,2021
4165,1970,2022
4166,1970,2022
4167,1970,2022
4168,1970,2022
4169,1970,2022
4170,1970,2021
4171,1970,2021
4172,1970,2022
4173,1976,2017
4174,1970,2022
4175,1970,2022
4176,1970,2022
4177,1970,2021
4178,1970,2021
4179,1970,2021
4180,1976,2022
4181,1970,2022
4182,1970,2022
4183,1970,2022
4184,1970,2021
4185,1970,2022
4186,1970,2022
4187,1970,2022
4188,1970,2021
4189,1970,2021
4190,2000,2017
4191,1970,2022
4192,1970,2021
4193,1970,2021
4194,1970,2021
4195,1970,2021
4196,1970,2022
4197,1970,2022
4198,1970,2022
4199,1970,2022
4200,1980,2019
4201,1970,2022
4202,1970,2021
4203,1970,2022
4204,1970,2022
4205,1970,2021
4206,1970,2022
4207,1970,2021
4208,1984,2018
4209,1970,2022
4210,1970,2022
4211,1970,2022
4212,1984,2022
4213,1970,2022
4214,1970,2022
4215,1980,2019
4216,1970,2022
4217,1970,2021
4218,1970,2022
4219,1970,2022
4220,1970,2021
4221,1980,2019
4222,1970,2022
4223,1970,2022
4224,1970,2021
4225,1970,2022
4226,1970,2022
4227,1980,2019
4228,1970,2021
4229,1970,2021
4230,1970,2022
4231,1979,2017
4232,1970,2022
4233,1970,2022
4234,1970,2022
4235,1970,2021
4236,1970,2022
4237,1970,2022
4238,1970,2022
4239,1970,2022
4240,1970,2022
4241,1970,2022
4242,1980,2019
4243,1970,2022
4244,1970,2022
4245,1970,2022
4246,1970,2022
4247,1970,2022
4248,1970,2022
4249,1973,2018
4250,1973,2022
