ID,min_year,max_year
1,1970,1988
2,1975,1988
3,1980,1987
4,1980,2002
5,1971,1996
6,1970,1993
7,1970,1993
8,1970,1993
9,1970,1993
10,1970,1994
11,1970,1993
12,1970,1994
13,1970,1993
14,1970,1994
15,1970,1995
16,1970,1994
17,1970,1992
18,1970,1983
19,1970,1991
20,1970,1988
21,1970,1988
22,1970,1988
23,1974,1991
24,1974,1988
25,1977,1991
26,1977,1990
27,1971,1992
28,1976,1988
38,1978,2000
39,1973,1986
40,1987,2011
41,1987,2011
42,1987,2011
43,1990,2000
46,1970,2005
47,1970,2001
48,1970,1995
49,1995,2004
65,1993,2002
66,1986,1994
67,1980,2001
68,1971,1995
69,1984,2000
70,1975,2001
71,1975,2001
72,1984,2001
73,1998,2001
74,1970,1974
75,1970,1993
76,1970,1992
77,1985,1993
136,1995,1998
137,1995,1999
138,1995,1999
140,1978,2004
141,1996,2004
142,1996,2013
143,1972,1995
144,1996,2012
159,1970,2007
160,1970,2007
161,1970,2007
162,1970,2007
163,1970,2007
164,1998,2004
165,1978,2010
166,1970,2010
167,1993,2007
168,1993,2010
169,1993,2010
174,1998,1999
191,1975,1976
193,1970,1971
194,1988,1997
196,1993,1997
197,1993,1997
199,1970,1979
200,1970,1979
201,1978,1989
202,1973,1981
203,1973,1981
204,1973,1981
205,1973,1981
211,1973,1981
219,1971,2008
222,1984,2006
223,1983,2001
224,1970,2000
225,1971,2008
226,1970,2008
227,1970,2010
228,1981,2005
229,1971,2008
230,1997,2008
231,1970,2008
233,1970,1982
234,1970,1977
235,1970,1977
236,1977,2019
237,1984,1992
238,1970,1989
239,1970,1981
240,1971,1981
241,1980,1992
242,1970,2004
243,1995,2010
245,1970,2002
252,1989,2004
253,1970,2001
254,1971,2003
265,1994,2000
266,1994,2000
267,1970,2013
268,1991,2010
269,1991,2010
270,1978,2009
271,1991,2010
272,1991,2010
273,1978,2009
339,2002,2007
353,1989,2010
357,1991,2012
358,2009,2012
359,2001,2012
360,1987,2012
362,1987,2012
364,2003,2012
365,2004,2012
366,1989,2012
367,2004,2012
368,1987,2012
370,2005,2011
371,2003,2012
373,2003,2011
375,1989,2012
376,1999,2012
377,2003,2012
379,2001,2012
380,1997,2012
381,2007,2012
382,2008,2012
383,1987,2012
384,2003,2012
385,2003,2012
387,1987,2012
388,2003,2012
389,2002,2012
390,2006,2012
394,1976,2008
395,2009,2010
396,2006,2012
435,1975,1982
436,1985,1995
437,1996,2010
438,1996,2010
439,1996,2010
440,1996,2008
441,1996,2010
442,1999,2010
443,1995,2009
444,1995,2009
