Binomial	ID	year	popvalue
Chrysemys_picta	354	1972	0.192
Sternotherus_odoratus	355	1972	0.004
Chelydra_serpentina	479	1972	0.174
Emydoidea_blandingii	480	1972	0.054
Graptemys_geographica	481	1972	0.002
Ambystoma_jeffersonianum	831	1975	624
Chelydra_serpentina	4090	1975	88
Anaxyrus_hemiophrys	192	1976	207
Ambystoma_jeffersonianum	831	1976	513
Chelydra_serpentina	4090	1976	87
Anaxyrus_hemiophrys	192	1977	130
Ambystoma_jeffersonianum	831	1977	324
Chelydra_serpentina	4090	1977	86
Hyla_versicolor	32	1978	35
Chelydra_serpentina	4090	1978	89
Chelydra_serpentina	4090	1979	83
Chelydra_serpentina	725	1980	57
Chelydra_serpentina	4090	1980	85
Nerodia_sipedon	361	1981	552
Chelydra_serpentina	725	1981	62
Chelydra_serpentina	4090	1981	90
Pantherophis_obsoletus	63	1982	42.8
Nerodia_sipedon	361	1982	265.2
Chelydra_serpentina	725	1982	69
Chelydra_serpentina	4090	1982	91
Pantherophis_obsoletus	63	1983	98.8
Pantherophis_obsoletus	64	1983	52.8
Chelydra_serpentina	172	1983	21
Clemmys_guttata	210	1983	58
Chelydra_serpentina	725	1983	69
Chelydra_serpentina	4090	1983	89
Pantherophis_obsoletus	63	1984	75.7
Pantherophis_obsoletus	64	1984	11.9
Chelydra_serpentina	172	1984	18
Plethodon_vehiculum	246	1984	1.22
Chelydra_serpentina	725	1984	66
Chelydra_serpentina	775	1984	941
Chelydra_serpentina	4090	1984	91
Ambystoma_maculatum	30	1985	232
Ambystoma_maculatum	31	1985	406
Lithobates_clamitans	34	1985	7
Lithobates_clamitans	35	1985	15
Lithobates_septentrionalis	37	1985	7
Pantherophis_obsoletus	63	1985	96.6
Pantherophis_obsoletus	64	1985	161.9
Graptemys_geographica	101	1985	7
Chelydra_serpentina	172	1985	7
Plethodon_vehiculum	246	1985	0.495
Lithobates_catesbeianus	247	1985	63.33333
Lithobates_catesbeianus	248	1985	20
Chelydra_serpentina	725	1985	67
Chelydra_serpentina	775	1985	837
Chelydra_serpentina	4090	1985	98
Ambystoma_maculatum	29	1986	15
Ambystoma_maculatum	30	1986	297
Ambystoma_maculatum	31	1986	336
Lithobates_clamitans	34	1986	4
Lithobates_clamitans	35	1986	14
Lithobates_septentrionalis	37	1986	20
Pantherophis_obsoletus	63	1986	78.5
Pantherophis_obsoletus	64	1986	64
Graptemys_geographica	101	1986	50
Chelydra_serpentina	172	1986	7
Lithobates_catesbeianus	247	1986	59.66667
Lithobates_catesbeianus	248	1986	21
Chelydra_serpentina	725	1986	65
Chelydra_serpentina	4090	1986	86
Ambystoma_maculatum	29	1987	12
Ambystoma_maculatum	30	1987	238
Ambystoma_maculatum	31	1987	438
Lithobates_clamitans	34	1987	6
Lithobates_clamitans	35	1987	7
Lithobates_septentrionalis	37	1987	42
Pantherophis_obsoletus	63	1987	77.1
Pantherophis_obsoletus	64	1987	46.5
Graptemys_geographica	101	1987	32
Chelydra_serpentina	172	1987	5
Chelydra_serpentina	173	1987	22
Emydoidea_blandingii	175	1987	2
Lithobates_catesbeianus	247	1987	27
Lithobates_catesbeianus	248	1987	22
Chelydra_serpentina	725	1987	57
Chelydra_serpentina	4090	1987	67
Ambystoma_maculatum	29	1988	30
Ambystoma_maculatum	30	1988	625
Ambystoma_maculatum	31	1988	1065
Hyla_versicolor	32	1988	26
Lithobates_clamitans	34	1988	4
Lithobates_clamitans	35	1988	24
Pantherophis_obsoletus	63	1988	87.7
Pantherophis_obsoletus	64	1988	47.1
Graptemys_geographica	101	1988	50
Chelydra_serpentina	172	1988	4
Chelydra_serpentina	173	1988	16
Emydoidea_blandingii	175	1988	13
Hyla_versicolor	244	1988	16
Chelydra_serpentina	725	1988	47
Chelydra_serpentina	4090	1988	55
Ambystoma_maculatum	29	1989	20
Ambystoma_maculatum	30	1989	520
Ambystoma_maculatum	31	1989	850
Hyla_versicolor	32	1989	36
Pantherophis_obsoletus	63	1989	69.1
Pantherophis_obsoletus	64	1989	53.5
Graptemys_geographica	101	1989	21
Chelydra_serpentina	172	1989	6
Chelydra_serpentina	173	1989	12
Emydoidea_blandingii	175	1989	16
Glyptemys_insculpta	177	1989	16
Hyla_versicolor	244	1989	37.5
Anaxyrus_fowleri	276	1989	41
Chelydra_serpentina	725	1989	41
Chelydra_serpentina	4090	1989	55
Ambystoma_maculatum	29	1990	3
Ambystoma_maculatum	30	1990	680
Ambystoma_maculatum	31	1990	234
Hyla_versicolor	32	1990	19
Lithobates_clamitans	34	1990	5
Lithobates_clamitans	35	1990	9
Pantherophis_obsoletus	63	1990	40.1
Pantherophis_obsoletus	64	1990	29.5
Plestiodon_fasciatus	81	1990	16
Graptemys_geographica	101	1990	50
Emydoidea_blandingii	175	1990	2
Glyptemys_insculpta	177	1990	52
Lithobates_catesbeianus	198	1990	42
Hyla_versicolor	244	1990	14.5
Lithobates_catesbeianus	247	1990	33.33333
Lithobates_catesbeianus	248	1990	20
Anaxyrus_fowleri	276	1990	156
Storeria_dekayi	363	1990	6
Chelydra_serpentina	725	1990	42
Chelydra_serpentina	4090	1990	58
Ambystoma_maculatum	29	1991	20
Ambystoma_maculatum	30	1991	653
Ambystoma_maculatum	31	1991	380
Hyla_versicolor	32	1991	77
Lithobates_clamitans	33	1991	297
Lithobates_pipiens	36	1991	74
Pantherophis_obsoletus	63	1991	40.8
Pantherophis_obsoletus	64	1991	33.9
Plestiodon_fasciatus	81	1991	87
Graptemys_geographica	101	1991	7
Emydoidea_blandingii	175	1991	4
Lithobates_catesbeianus	198	1991	15
Hyla_versicolor	244	1991	43.5
Lithobates_catesbeianus	247	1991	32.33333
Lithobates_catesbeianus	248	1991	19.33333
Anaxyrus_fowleri	276	1991	393
Sternotherus_odoratus	351	1991	57
Storeria_dekayi	363	1991	2
Chelydra_serpentina	725	1991	41
Chelydra_serpentina	775	1991	121
Chelydra_serpentina	4090	1991	60
Hyla_versicolor	32	1992	30
Lithobates_clamitans	33	1992	273
Lithobates_pipiens	36	1992	72
Lithobates_septentrionalis	37	1992	5
Pantherophis_obsoletus	63	1992	62.5
Pantherophis_obsoletus	64	1992	34.1
Lithobates_clamitans	78	1992	4
Lithobates_clamitans	79	1992	12
Lithobates_clamitans	80	1992	35
Plestiodon_fasciatus	81	1992	47
Graptemys_geographica	101	1992	4
Emydoidea_blandingii	175	1992	5
Hyla_versicolor	244	1992	17
Lithobates_catesbeianus	247	1992	9.66667
Lithobates_catesbeianus	248	1992	29.33333
Anaxyrus_fowleri	276	1992	307
Sternotherus_odoratus	351	1992	20
Storeria_dekayi	363	1992	9
Chelydra_serpentina	725	1992	44
Chrysemys_picta	4089	1992	277
Chelydra_serpentina	4090	1992	57
Hyla_versicolor	32	1993	64
Lithobates_clamitans	33	1993	425
Lithobates_pipiens	36	1993	169
Lithobates_septentrionalis	37	1993	37
Pantherophis_obsoletus	63	1993	47.1
Pantherophis_obsoletus	64	1993	20
Lithobates_clamitans	78	1993	7
Lithobates_clamitans	79	1993	15
Lithobates_clamitans	80	1993	12
Plestiodon_fasciatus	81	1993	20
Graptemys_geographica	101	1993	8
Emydoidea_blandingii	175	1993	12
Hyla_versicolor	244	1993	41.5
Lithobates_catesbeianus	247	1993	42
Lithobates_catesbeianus	248	1993	17.66667
Anaxyrus_fowleri	276	1993	394
Sternotherus_odoratus	351	1993	165
Storeria_dekayi	363	1993	12
Sistrurus_catenatus	718	1993	66.4865
Chelydra_serpentina	725	1993	41
Chrysemys_picta	4089	1993	288
Chelydra_serpentina	4090	1993	59
Lithobates_clamitans	33	1994	151
Lithobates_pipiens	36	1994	62
Pantherophis_obsoletus	63	1994	66.2
Pantherophis_obsoletus	64	1994	27
Lithobates_clamitans	78	1994	10
Lithobates_clamitans	79	1994	12
Lithobates_clamitans	80	1994	9
Plestiodon_fasciatus	81	1994	12
Graptemys_geographica	101	1994	25
Emydoidea_blandingii	175	1994	17
Anaxyrus_fowleri	276	1994	93
Sternotherus_odoratus	351	1994	178
Storeria_dekayi	363	1994	7
Sistrurus_catenatus	718	1994	35.1351
Chelydra_serpentina	725	1994	37
Chelydra_serpentina	775	1994	186
Chrysemys_picta	4089	1994	308
Chelydra_serpentina	4090	1994	50
Pantherophis_obsoletus	63	1995	63
Pantherophis_obsoletus	64	1995	70.8
Plestiodon_fasciatus	81	1995	6
Lithobates_sylvaticus	126	1995	2
Lithobates_sylvaticus	127	1995	2.5
Lithobates_sylvaticus	128	1995	1.5
Lithobates_sylvaticus	129	1995	2.5
Lithobates_sylvaticus	130	1995	2.4
Glyptemys_insculpta	171	1995	52.4
Emydoidea_blandingii	175	1995	16
Anaxyrus_fowleri	276	1995	43
Lithobates_palustris	280	1995	0.11
Notophthalmus_viridescens	281	1995	0.6933
Plethodon_cinereus	282	1995	2.97
Lithobates_catesbeianus	283	1995	57.5
Lithobates_catesbeianus	284	1995	8.8
Lithobates_catesbeianus	285	1995	27.5
Lithobates_clamitans	286	1995	87.7
Lithobates_clamitans	287	1995	35.1
Lithobates_clamitans	288	1995	66.2
Anaxyrus_americanus	289	1995	53.7
Anaxyrus_americanus	290	1995	67.8
Anaxyrus_americanus	291	1995	96.1
Hyla_versicolor	292	1995	71.8
Hyla_versicolor	293	1995	73.1
Hyla_versicolor	294	1995	76.7
Pseudacris_crucifer	298	1995	67.7
Pseudacris_crucifer	299	1995	96
Lithobates_sylvaticus	300	1995	44.9
Lithobates_sylvaticus	301	1995	78.5
Lithobates_sylvaticus	302	1995	76
Lithobates_pipiens	303	1995	40.9
Lithobates_pipiens	304	1995	4.5
Lithobates_pipiens	305	1995	58.5
Storeria_dekayi	363	1995	3
Pseudacris_triseriata	529	1995	22.2
Pseudacris_triseriata	530	1995	78.35
Sistrurus_catenatus	718	1995	61.0811
Chelydra_serpentina	725	1995	34
Chrysemys_picta	4089	1995	307
Chelydra_serpentina	4090	1995	52
Pantherophis_obsoletus	63	1996	41.9
Pantherophis_obsoletus	64	1996	48.1
Lithobates_sylvaticus	126	1996	4.5
Lithobates_sylvaticus	127	1996	17.1
Lithobates_sylvaticus	128	1996	33.1
Lithobates_sylvaticus	129	1996	7.5
Lithobates_sylvaticus	130	1996	5
Lithobates_sylvaticus	131	1996	5
Lithobates_sylvaticus	132	1996	14.8
Emydoidea_blandingii	175	1996	22
Anaxyrus_fowleri	276	1996	39
Lithobates_palustris	280	1996	0.09
