ID,min_year,max_year
29,1986,1991
30,1985,1991
31,1985,1991
32,1978,1993
33,1991,1994
34,1985,1990
35,1985,1990
36,1991,1994
37,1985,1993
63,1982,1997
64,1983,1996
78,1992,1994
79,1992,1994
80,1992,1994
81,1990,1995
91,1997,2000
101,1985,1994
126,1995,1998
127,1995,1998
128,1995,1998
129,1995,1999
130,1995,1999
131,1996,1998
132,1996,1998
145,1999,2006
148,2000,2006
149,2000,2006
150,2000,2006
153,1998,2005
154,1997,2006
155,1997,2006
156,1997,2006
158,1999,2005
171,1995,2002
172,1983,1989
173,1987,1989
175,1987,2017
176,2001,2005
177,1989,1990
192,1976,1977
198,1990,1991
210,1983,2001
244,1988,1993
246,1984,1985
247,1985,1993
248,1985,1993
250,1999,2000
276,1989,2012
277,2004,2008
278,2003,2008
279,1999,2009
280,1995,1996
281,1995,1996
282,1995,2002
283,1995,2006
284,1995,2004
285,1995,2005
286,1995,2006
287,1995,2004
288,1995,2005
289,1995,2006
290,1995,2004
291,1995,2005
292,1995,2006
293,1995,2004
294,1995,2005
298,1995,2006
299,1995,2004
300,1995,2006
301,1995,2004
302,1995,2005
303,1995,2006
304,1995,2004
305,1995,2005
319,1998,2000
322,2003,2004
323,2003,2004
324,2003,2004
325,2003,2004
326,2003,2004
328,1998,2002
331,1997,1999
334,1997,1999
335,1997,1999
336,1997,1999
337,1997,1999
340,1998,1999
341,1998,1999
342,1998,1999
343,1998,1999
351,1991,1994
352,1999,2006
354,1972,2002
355,1972,2002
361,1981,1982
363,1990,2010
392,2002,2003
479,1972,2002
480,1972,2002
481,1972,2002
529,1995,2006
530,1995,2006
534,2005,2006
536,1998,2001
660,2006,2014
661,2011,2013
692,2009,2011
693,2009,2011
718,1993,2007
725,1980,2013
765,2013,2017
766,2013,2017
775,1984,2002
831,1975,1977
1189,2012,2014
1190,2012,2014
1191,2012,2014
1192,2012,2013
1243,2004,2006
2997,2006,2019
3026,1998,2012
3027,2001,2016
3028,2000,2003
3029,2001,2016
3030,2002,2016
3031,2002,2017
3032,2002,2016
3033,2002,2016
3034,2016,2017
3035,2000,2017
3036,2000,2016
3037,2003,2012
3038,2000,2017
3039,2005,2013
3040,2005,2017
3041,2004,2005
3042,2005,2013
3043,2006,2013
3044,2005,2013
3045,1999,2017
3046,1999,2005
3047,2001,2017
3048,1999,2017
3049,2001,2017
3051,1999,2017
3052,2001,2017
3053,2001,2017
3054,2003,2017
3055,2000,2017
3056,1999,2016
3057,2000,2005
3058,1999,2016
3059,1999,2016
3060,1999,2016
3061,2005,2017
3062,2000,2016
3063,2000,2017
3064,2012,2016
3065,2002,2016
3066,1999,2017
3067,2001,2003
3068,1999,2016
3069,1999,2012
3070,1999,2016
3071,1999,2016
3072,1999,2016
3073,2003,2004
3074,2004,2012
3075,2001,2017
3076,2001,2017
3077,2002,2017
3109,2006,2007
3110,2007,2016
3111,2011,2015
3112,2008,2016
3113,2010,2016
3114,2008,2014
3115,2009,2015
3116,2008,2016
3117,2008,2016
3118,2009,2015
3119,2011,2015
3136,2008,2017
3137,2008,2017
3159,2004,2018
3824,2002,2018
3825,2002,2018
3826,2002,2018
3827,2002,2018
4089,1992,2022
4090,1975,2010
