Binomial	ID	year	popvalue
Balaenoptera_physalus	44	1970	4483
Balaenoptera_physalus	45	1970	1070
Antilocapra_americana	51	1970	21300
Clethrionomys_gapperi	52	1970	0.3
Martes_americana	54	1970	198
Pagophilus_groenlandicus	170	1970	1800000
Tamiasciurus_hudsonicus	181	1970	12.5
Lepus_americanus	183	1970	3.5
Poliocitellus_franklinii	184	1970	2.1
Erethizon_dorsatum	185	1970	0.3
Mephitis_mephitis	186	1970	0.55
Clethrionomys_gapperi	189	1970	11
Tamias_striatus	208	1970	27
Blarina_brevicauda	209	1970	7
Ovis_canadensis	214	1970	1650
Halichoerus_grypus	348	1970	4235
Halichoerus_grypus	349	1970	1829
Phocoena_phocoena	542	1970	4
Phocoena_phocoena	543	1970	4.42
Ursus_americanus	584	1970	92
Odocoileus_hemionus	770	1970	28020
Odocoileus_virginianus	2212	1970	69288
Rangifer_tarandus	2578	1970	259000
Cervus_elaphus	3154	1970	485
Eumetopias_jubatus	50	1971	4889
Clethrionomys_gapperi	52	1971	0.1
Martes_americana	54	1971	162
Bos_bison	133	1971	9500
Pagophilus_groenlandicus	170	1971	1750000
Tamiasciurus_hudsonicus	181	1971	12.7
Lepus_americanus	183	1971	6
Poliocitellus_franklinii	184	1971	2.6
Erethizon_dorsatum	185	1971	0.72
Mephitis_mephitis	186	1971	0.5
Clethrionomys_gapperi	189	1971	38
Tamias_striatus	208	1971	19
Blarina_brevicauda	209	1971	4
Halichoerus_grypus	348	1971	4707
Halichoerus_grypus	349	1971	1719
Clethrionomys_rutilus	430	1971	3.65
Clethrionomys_rutilus	431	1971	63.6
Lemmus_trimucronatus	433	1971	0.433
Dicrostonyx_groenlandicus	434	1971	0.7
Phocoena_phocoena	542	1971	1.04
Phocoena_phocoena	543	1971	3.34
Ursus_americanus	584	1971	75
Castor_canadensis	640	1971	0.3
Alces_alces	691	1971	35
Castor_canadensis	739	1971	21
Odocoileus_hemionus	770	1971	32340
Bos_bison	1091	1971	1701
Odocoileus_virginianus	2212	1971	53335
Rangifer_tarandus	2578	1971	244000
Rangifer_tarandus	2579	1971	210000
Cervus_elaphus	3154	1971	620
Canis_lupus	3225	1971	1
Canis_lupus	3226	1971	1
Martes_americana	54	1972	210
Martes_americana	55	1972	500
Peromyscus_maniculatus	57	1972	320
Tamiasciurus_hudsonicus	60	1972	6.67
Rangifer_tarandus	87	1972	2500
Bos_bison	133	1972	9250
Pagophilus_groenlandicus	170	1972	1800000
Tamiasciurus_hudsonicus	181	1972	11
Lepus_americanus	183	1972	1.5
Poliocitellus_franklinii	184	1972	1.7
Erethizon_dorsatum	185	1972	0.42
Mephitis_mephitis	186	1972	1
Clethrionomys_gapperi	189	1972	10
Tamias_striatus	208	1972	38
Blarina_brevicauda	209	1972	3
Ursus_maritimus	258	1972	354.81
Halichoerus_grypus	348	1972	5659
Halichoerus_grypus	349	1972	1654
Clethrionomys_rutilus	430	1972	23.63
Clethrionomys_rutilus	431	1972	22.97
Lemmus_trimucronatus	433	1972	0.833
Dicrostonyx_groenlandicus	434	1972	0.233
Rangifer_tarandus	482	1972	15
Phocoena_phocoena	542	1972	6.45
Phocoena_phocoena	543	1972	6.44
Ursus_americanus	584	1972	117
Orcinus_orca	588	1972	13
Alces_alces	691	1972	52
Odocoileus_hemionus	770	1972	30970
Bos_bison	1089	1972	111
Odocoileus_virginianus	2212	1972	58093
Rangifer_tarandus	2577	1972	1e+05
Cervus_elaphus	3154	1972	713
Canis_lupus	3225	1972	2
Canis_lupus	3226	1972	1
Eumetopias_jubatus	50	1973	4039
Clethrionomys_gapperi	52	1973	0.6
Martes_americana	54	1973	161
Martes_americana	55	1973	720
Peromyscus_maniculatus	57	1973	161.67
Tamiasciurus_hudsonicus	60	1973	3
Rangifer_tarandus	87	1973	3500
Rangifer_tarandus	88	1973	790
Bos_bison	133	1973	8000
Pagophilus_groenlandicus	170	1973	1950000
Tamiasciurus_hudsonicus	181	1973	4
Lepus_americanus	183	1973	0.8
Poliocitellus_franklinii	184	1973	0.55
Erethizon_dorsatum	185	1973	0.45
Mephitis_mephitis	186	1973	0.6
Delphinapterus_leucas	187	1973	363
Clethrionomys_gapperi	189	1973	5
Tamias_striatus	208	1973	6
Blarina_brevicauda	209	1973	8
Rangifer_tarandus	215	1973	897
Ursus_maritimus	258	1973	714.96
Halichoerus_grypus	348	1973	6611
Halichoerus_grypus	349	1973	1632
Clethrionomys_rutilus	430	1973	9.1
Clethrionomys_rutilus	431	1973	31.1
Lemmus_trimucronatus	433	1973	0.333
Dicrostonyx_groenlandicus	434	1973	0.3
Rangifer_tarandus	482	1973	14
Peromyscus_maniculatus	483	1973	3.88
Clethrionomys_rutilus	485	1973	2.69
