year,CI_low,CI_high,LPI_final,type
1970,1,1,1,NA (C-LPI)
1971,1.00030334340359,1.01768805036829,1.00888784525276,NA (C-LPI)
1972,0.999198271672971,1.03150161001721,1.01493976307082,NA (C-LPI)
1973,0.993579290112894,1.03981242721558,1.01578842604301,NA (C-LPI)
1974,0.984740244639897,1.0424949580877,1.01241683486194,NA (C-LPI)
1975,0.979175827670984,1.04617330860427,1.0110805131137,NA (C-LPI)
1976,0.973411139109866,1.04653567519715,1.00821612274597,NA (C-LPI)
1977,0.966246596570535,1.04617445146957,1.00424274797307,NA (C-LPI)
1978,0.963383763460963,1.04772864682428,1.00406769078146,NA (C-LPI)
1979,0.965008588588844,1.05269361428379,1.00745632194196,NA (C-LPI)
1980,0.969717264570947,1.06098506817361,1.01397168755729,NA (C-LPI)
1981,0.972766081781415,1.06880055246601,1.01928558885826,NA (C-LPI)
1982,0.969291228669282,1.07088588847073,1.01864817752673,NA (C-LPI)
1983,0.96598023918682,1.07330220906925,1.01804113083699,NA (C-LPI)
1984,0.965185384064306,1.07848463360782,1.02030816251368,NA (C-LPI)
1985,0.966887734127816,1.0841318213554,1.02362034149713,NA (C-LPI)
1986,0.965377392870059,1.08533103330191,1.02354744555085,NA (C-LPI)
1987,0.960719583696218,1.08342688110705,1.02004087240003,NA (C-LPI)
1988,0.957867744582541,1.08332674152869,1.01846123120709,NA (C-LPI)
1989,0.953333186557217,1.08205502169559,1.01572799401615,NA (C-LPI)
1990,0.949868313668285,1.08200201257118,1.01380139385394,NA (C-LPI)
1991,0.943265200861268,1.07909946998005,1.00889612399761,NA (C-LPI)
1992,0.936650429431606,1.07712785584438,1.0044381052363,NA (C-LPI)
1993,0.939132190306645,1.08302565754388,1.00869895126007,NA (C-LPI)
1994,0.945273878071575,1.0954479551807,1.01787505865326,NA (C-LPI)
1995,0.947466118237275,1.10200305710007,1.02192634648503,NA (C-LPI)
1996,0.951817141582464,1.10952622431332,1.02849721692602,NA (C-LPI)
1997,0.951499405549649,1.11170457398373,1.02909847607986,NA (C-LPI)
1998,0.942438775276663,1.10476402481186,1.02028109015221,NA (C-LPI)
1999,0.930488464128412,1.09573172571664,1.0095199217822,NA (C-LPI)
2000,0.922175721645022,1.08955364818422,1.00242086268841,NA (C-LPI)
2001,0.914640522360249,1.08718159591519,0.997207824089998,NA (C-LPI)
2002,0.90838835527334,1.08404410024968,0.992243074440267,NA (C-LPI)
2003,0.903051152569032,1.08128473022903,0.987994117703974,NA (C-LPI)
2004,0.901100929921517,1.08201421103804,0.987036543162223,NA (C-LPI)
2005,0.90372075103255,1.08756488987845,0.991289128272758,NA (C-LPI)
2006,0.904660818780782,1.09050290292768,0.993105589135151,NA (C-LPI)
2007,0.905738469873298,1.09543683646969,0.995975541311996,NA (C-LPI)
2008,0.902130520563731,1.09582109422788,0.993754431245748,NA (C-LPI)
2009,0.89725551261575,1.09304269873481,0.98977929852544,NA (C-LPI)
2010,0.89317757900524,1.09150560628697,0.986877543893676,NA (C-LPI)
2011,0.8894849804107,1.09203608949887,0.985461262671353,NA (C-LPI)
2012,0.886687586148412,1.09299160359222,0.983793230162387,NA (C-LPI)
2013,0.88636542229261,1.09597957448658,0.985016115963267,NA (C-LPI)
2014,0.888054099200334,1.10187163661222,0.988315078564094,NA (C-LPI)
2015,0.891858442616118,1.10929160490035,0.994301026749056,NA (C-LPI)
2016,0.895114024453212,1.11593095523809,0.999125481521323,NA (C-LPI)
2017,0.891730264671197,1.11428704591332,0.99645117467561,NA (C-LPI)
2018,0.886986028161505,1.11058396485982,0.991799754235181,NA (C-LPI)
2019,0.889380966173588,1.11537997753975,0.995372599333085,NA (C-LPI)
2020,0.894332128738393,1.12401308530131,1.00190600554891,NA (C-LPI)
2021,0.898295776715865,1.13390574667884,1.00896903865799,NA (C-LPI)
2022,0.89775256942263,1.14017315628614,1.01151019163626,NA (C-LPI)
1970,1,1,1,onepercent_mean
1971,0.995687112486994,1.01615615511103,1.00574258707855,onepercent_mean
1972,0.987475299607275,1.0264686229863,1.00669690245862,onepercent_mean
1973,0.975770924371577,1.03282482331553,1.00368826867337,onepercent_mean
1974,0.962266349302824,1.03467438034465,0.997616641934656,onepercent_mean
1975,0.945857586573746,1.03229352999259,0.987644528251799,onepercent_mean
1976,0.939637734289223,1.03157164725781,0.983859301857032,onepercent_mean
1977,0.935668300563784,1.03388795131567,0.982790984348442,onepercent_mean
1978,0.938525871267035,1.0429598077481,0.988730329831158,onepercent_mean
1979,0.945231467832141,1.05449300019716,0.998063654725034,onepercent_mean
1980,0.952731535517232,1.06640340807408,1.00769892691212,onepercent_mean
1981,0.957457638048164,1.07483816177426,1.0140827622024,onepercent_mean
1982,0.954966144968708,1.0781344649215,1.0139846184338,onepercent_mean
1983,0.951735160296842,1.08077379826231,1.0136778229851,onepercent_mean
1984,0.949980196104258,1.08444770486506,1.0146845469262,onepercent_mean
1985,0.952925895356881,1.09101769024182,1.01889612674884,onepercent_mean
1986,0.953411830231001,1.09397452977039,1.02052376222002,onepercent_mean
1987,0.95121748686926,1.09420444113515,1.01897240371335,onepercent_mean
1988,0.950851432827792,1.09599895168602,1.01933398669642,onepercent_mean
1989,0.947878380634314,1.09555900686629,1.01784855108852,onepercent_mean
1990,0.945338725988897,1.0952006009323,1.01652030051379,onepercent_mean
1991,0.940065051650564,1.09281644046625,1.01300294385322,onepercent_mean
